name;addr
Crossroads United Methodist Church;5901 Hogan Rd Waunakee WI 53597
Iola United Methodist Church;190 W Iola Street Iola WI 54945
Grand Avenue United Methodist Church;505 West Grand Avenue Port Washington WI 53074
Sherman Avenue United Methodist Church;3705 N SHERMAN AVE MADISON WI 53704
Fountain Park United Methodist Church;828 Erie Avenue Sheboygan WI 53081
Emmanuel Community United Methodist Church;N84 W16707 Menomonee Avenue Menomonee Falls WI 53051
Sheboygan: Wesley Hispanic Ministry United Methodist Church;829 Union Ave, Sheboygan WI 53081
Wesley United Methodist Church;823 Union Ave Sheboygan WI 53081
St. Luke United Methodist Church;623 Ontario Avenue Southeast corner of N. 7th St. and Ontario Ave. Sheboygan WI 53081
Immanuel United Methodist Church;201 E Racine Street Jefferson WI 53549
Lonsdale United Methodist Church;414 Grove Street Sullivan WI 53178
Seymour: New Life United Methodist Church;721 Pleasant Way Seymour WI 54165
Bashford United Methodist Church;329 North Street Madison WI 53704
Gethsemane United Methodist Church;642 Main St Pewaukee WI 53072
Monona United Methodist Church;606 Nichols Rd Madison WI 53716
Iglesia Metodista Unida El Liberator;606 Nichols Rd Madison WI 53716
Willerup United Methodist Church;414 West Water Street Cambridge WI 53523
First United Methodist Church of MADISON;203 Wisconsin Ave Madison WI 53703
Oneida United Methodist Church;N6037 County Road E De Pere WI 54115
Mequon United Methodist Church;11011 North Oriole Lane Mequon WI 53092
Concordia United Methodist Church;585 5th Street Prairie du Sac WI 53578
Clintonville United Methodist Church;24 West 13th Street Clintonville WI 54929
Brown Deer United Methodist Church;5736 West Brown Deer Road Milwaukee WI 53223
Kristine Howard;301 E Walnut St North Freedom WI 53951
The Church of the Good Hope United Methodist Church;8700 West Good Hope Road Milwaukee WI 53224
New Hope United Methodist Church;1950 Dickinson Road De Pere WI 54115
Trinity United Methodist Church;1123 Vilas Avenue Madison WI 53715
El Buen Samaritano United Methodist Church;915 Magnolia Drive Waukesha WI 53187
Brookfield Agape Um Ministry United Methodist Church;2400 N Brookfield Road Brookfield WI 53045
Fort Atkinson First United Methodist Church;320 S Main Street Fort Atkinson WI 53538
Asbury United Methodist Church;6101 University Ave Madison WI 53705
Hebron Community Church;N 2349 CO HWY D FORT ATKINSON WI 53538
Madison: Korean Ministries United Methodist Church;6101 University Ave Madison WI 53705
Siloam;COUNTY RDS CL & Z FORT ATKINSON WI 53538
Bethany United Methodist Church;3910 Mineral Point Road Madison WI 53705
First United Methodist Church of Waukesha;121 Wisconsin Avenue Waukesha WI 53186
Madison: Wellspring Hispanic United Methodist Church;5702 South Hill Drive Madison WI 53705
Wellspring United Methodist Church;5702 South Hill Drive Madison WI 53705
Bethany Church;1110 Echo Lane Green Bay WI 54304
Lakeshore United Methodist Church;411 Reed Avenue Manitowoc WI 54220
Pleasant Valley United Methodist Church;N2895 County Highway E Palmyra WI 53156
Zion United Methodist Church;231 Chicago St Denmark WI 54208
Peace United Methodist Church;12860 W North Ave Brookfield WI 53005
Salem United Methodist Church;541 Highway 59 Waukesha WI 53186
North Prairie United Methodist Church;107 North Main Street North Prairie WI 53153
Buena Vista United Methodist Church;6785 Old Amish Road Plover WI 54467
Community United Methodist Church;14700 Watertown Plank Rd Elm Grove WI 53122
Mt Zion United Methodist Church;1930 Grassy Creek Road Webster Springs WV 26288
Hacker Valley United Methodist Church;93 School Loop Road Hacker Valley WV 26222
Centralia;10 Centralia Rd SUTTON WV 26601
Jerrys Run United Methodist Church;782 Cleveland Road Hacker Valley WV 26222
Webster Springs First United Methodist Church;120 Church Street Webster Springs WV 26288
Morrison United Methodist Church;4839 Airport Rd. Sutton WV 26601
Mount Hebron United Methodist Church;WV-15 & Laurel Path Rd Sutton WV 26601
Barton;Curtin Rd Webster Springs WV 26288
Spruce Lick United Methodist Church;202 Wolf Creek Road Sutton WV 26601
Mt Nebo;Airport Rd & County Hwy 15/9 State Hwy 15 & Holley Grey Park Rd Sutton WV 26601
Stone Run United Methodist Church;Stone Run Road and Berry Fork Road Flatwoods WV 26621
Fall Run United Methodist Church;5665 Fall Run Road Ireland WV 26376
Mt. Harmony United Methodist Church;58 River Hill Rd. Heaters WV 26627
Corley United Methodist Church;Berry Fork Road Flatwoods WV 26621
Berry Chapel United Methodist Church;985 Berry Fork Road Heaters WV 26627
Trinity United Methodist Church;150 Railroad Ave Cowen WV 26206
Tichenal United Methodist Church;Ben's Run Road (1 mile of Saltlick bridge) Heaters WV 26627
Sutton Christ United Methodist Church;188 Main Street Sutton WV 26601
Flatwoods;279 N BAXTER ST SUTTON WV 26601
Salem United Methodist Church;Co Hwy 40/1  Salem Ridge Rock Cave WV 26234
Dyer United Methodist Church;Williwams River-Upper Road Cowen WV 26206
Ireland United Methodist Church;31 Community Dr Ireland WV 26376
Heaters United Methodist Church;3806 Gauley Turnpike Heaters WV 26627
Heaston United Methodist Church;Route 20  Rock Cave WV 26234
Mt. Zion United Methodist Church;Holly Grove Road French Creek WV 26218
Loydville United Methodist Church;4521 Exchange Road Sutton WV 26601
Wilson Chapel United Methodist Church;WV-40/1  Salem Ridge Rock Cave WV 26234
Straight Fork United Methodist Church;Ireland-Rock Cave Rd Rock Cave WV 26234
Pine Grove United Methodist Church;C Hwy 16/6 Helvetia WV 26224
Rock Cave United Methodist Church;Route 4 Rock Cave WV 26234
Alton United Methodist Church;Frenchton Carter Alexander Rock Cave WV 26234
Bethel United Methodist Church;Pob 278 Cowen WV 26206
Gassaway Fairview;107 N ELK ST GASSAWAY WV 26624
Waterloo United Methodist Church;WV-34 & WV-32 Rock Cave WV 26234
Gassaway United Methodist Church;710 Braxton Street Gassaway WV 26624
Pleasant Hill United Methodist Church;Right Hand Ford Rd & Copen Rd Burnsville WV 26335
Crawford United Methodist Church;71 Riverview Circle Crawford WV 26343
Center Chapel United Methodist Church;County Rd 11 & County Rd 11/4 Rock Cave WV 26234
Frenchton United Methodist Church;Frenchton Road Frenchton WV 26219
Orlando United Methodist Church;WV-1 / Old Creek Road Orlando WV 26412
Richmond Chapel United Methodist Church;4785 Chapel Road Gassaway WV 26624
Margaret Posey;Redlick Run Road Orlando WV 26412
Cutlips United Methodist Church;9880 Exchange Road Sutton WV 26601
Indian Camp United Methodist Church;Indian Camp Road French Creek WV 26218
Burnsville First United Methodist Church;204 Fulton Street BURNSVILLE WV 26335
St. Luke's United Methodist Church;Route 55 & Route 20 18001 Webster Rd Craigsville WV 26205
Mount Olive United Methodist Church;CR-9/14 French Creek WV 26218
Laurel Fork United Methodist Church;Laurel Run Road Buckhannon WV 26201
French Creek United Methodist Church;Route 20 BUCKHANNON WV 26201
Mt. Zion United Methodist Church;Schindel Road Craigsville WV 26205
Eureka United Methodist Church;WV-40 & Big Run Road Frametown WV 26623
Patricia (Trish) Neely and Roger B. Neely;155 Marple Street US Rt 219 South Valley Head WV 26294
Walnut Grove United Methodist Church;Wilson Ridge Rd and Groves Dille Dille WV 26617
Vandalia United Methodist Church;2543 Keiths Fork Horner WV 26372
Patricia (Trish) Neely and Roger B. Neely;21550 Seneca Trail Rt 219 S Valley Head WV 26294
Ten Mile United Methodist Church;43 Calico Road Tallmansville WV 26237
Horner United Methodist Church;24 Georgetown Road Horner WV 26372
Johnstown United Methodist Church;941 Johnstown Road LOST CREEK WV 26385
Copen United Methodist Church;41 Walker Fork Road Copen WV 26615
Right Hand Fork United Methodist Church;N/A BURNSVILLE WV 26335
Stouts Chapel United Methodist Church;N/A BURNSVILLE WV 26335
Troy;N/A TROY WV 26443
Patricia (Trish) Neely and Roger B. Neely;164 South Dry Branch Road - Rt 219 S Slatyfork WV 26291
Muddlety United Methodist Church;Old US Highway 19 Summersville WV 26651
Bennett Memorial United Methodist Church;Highway 41 Upper Glade Creek Summersville WV 26651
Frametown;County Hwy 9 & State Hwy 4 Frametown WV 26623
Hinkle Mountain United Methodist Church;Hinkle Mountain RICHWOOD WV 26261
First United Methodist Church of Richwood;Oakford Ave & E Walnut St Richwood WV 26261
Upper Sleith United Methodist Church;Co Hwy 9/4 Exchange WV 26619
Faith United Methodist Church;50 West Main Street Richwood WV 26261
Hampton United Methodist Church;Hampton Road / C Hwy 22/1 Buckhannon WV 26201
Fenwick United Methodist Church;Fenwick Bottom Fenwick WV 26202
Reed Chapel United Methodist Church;303 Lee Glass Road Buckhannon WV 26201
Bealls Mill United Methodist Church;6441 Copley Rd Weston WV 26452
Jerusalem United Methodist Church;CR-46/Helvetia-Adelphia Road Mill Creek WV 26280
Mt Union United Methodist Church;WV-26 & Co Hwy 16/10 Ellamore WV 26267
Mt Hope;9 Butterfly Drive BUCKHANNON WV 26201
Queens United Methodist Church;14 Currence Road Tallmansville WV 26237
Rocky Ford United Methodist Church;Rock Ford Road Buckhannon WV 26201
Macedonia United Methodist Church;2945 Nettie Fenwick Road Richwood WV 26261
Cassity United Methodist Church;WV-35 Cassity WV 26251
Fairview United Methodist Church;Wv-20 Burnt Bridge-Kedron French Creek WV 26218
Mill Creek United Methodist Church;Route 250 / 219 Mill Creek WV 26280
Downtain Chapel;Rt 39 Nettie WV 26681
Tennerton United Methodist Church;126 Tallmanville Road Buckhannon WV 26201
Reger Chapel United Methodist Church;Brushy Fork Road Buckhannon WV 26201
Rosedale Untied Methodist Church;Rosedale Road Rosedale WV 26636
Mt. Zion United Methodist Church;Route 39 & Route 20 Canvas WV 26662
Stone Coal United Methodist Church;1251 Old Route 33 Weston WV 26452
Bendale United Methodist Church;1163 US Hwy 19 S Weston WV 26452
Nays Chapel United Methodist Church;Route 151  & Route 26 French Creek WV 26218
Upper Ellis United Methodist Church;2272 Ellis Road Troy WV 26443
Jordan Chapel United Methodist Church;66 Groves Road Canvas WV 26662
Chapel Hill United Methodist Church;88 S Kanawha Street Buckhannon WV 26201
First United Methodist Church, Buckhannon;52 S Florida St. Buckhannon WV 26201
Mount Olive;13 LOCUST DR BUCKHANNON WV 26201
West Buckhannon United Methodist Church;62 Leggett Addition Road Buckhannon WV 26201
Reger United Methodist Church;Route 150 & C Hwy 5/10 Buckhannon WV 26201
Summersville Memorial United Methodist Church;1317 Webster Road Summersville WV 26651
Mt Rupert United Methodist Church;Route 151 Buckhannon WV 26201
St. Matthew United Methodist Church;120 East 3rd Street Weston WV 26452
Mt Hermon United Methodist Church;US-33 & Childers Run Road BUCKHANNON WV 26201
Valley Bend United Methodist Church;CR 37 Valley Bend WV 26293
Broad Street United Methodist Church;210 Broad Street Weston WV 26452
Eureka United Methodist Church;County Hwy 32/2 Leivasy WV 26676
Dotson-Simpson United Methodist Church;630 Margaret St Summersville WV 26651
Beckley Chapel;ODell Town Rd Nettie WV 26681
Blackburn United Methodist Church;205 Rocky Fork Road Orlando WV 26412
Otterbein United Methodist Church;2100 WV Highway 5 East Glenville WV 26351
Glenville Trinity United Methodist Church;112 East Main Street GLENVILLE WV 26351
