name,addr,state,lat,lon
Redeemer Presbyterian Church,Scottsboro,AL,34.673132,-86.033877
Redeemer Presbyterian Mission,Gardendale,AL,33.660103,-86.81277
Riverwood Presbyterian Church,Tuscaloosa,AL,33.209561,-87.567526
Salem Presbyterian Church,Alpine,AL,33.348722,-86.238586
Se Um Church,Auburn,AL,32.609857,-85.480783
Southside Presbyterian Church ,Huntsville,AL,34.729847,-86.585901
Southwood Presbyterian Church,Huntsville,AL,34.729847,-86.585901
The Village Church,Huntsville,AL,34.729847,-86.585901
Third Presbyterian Church,Birmingham,AL,33.520682,-86.802433
Trinity Presbyterian Church,Opelika,AL,32.645412,-85.37828
Trinity Presbyterian Church,Montgomery,AL,32.366966,-86.300649
Trinity Presbyterian Church,Tuscaloosa,AL,33.209561,-87.567526
Unity Presbyterian Church,Weogufka,AL,33.016509,-86.312197
Urban Hope,Fairfield,AL,33.48594,-86.911937
Valley Presbyterian Church,Madison,AL,34.692873,-86.751143
Westminster Presbyterian Church,Huntsville,AL,34.729847,-86.585901
Westwood Presbyterian Church,Dothan,AL,31.223743,-85.393391
Woodland Presbyterian Church,Notasulga,AL,32.560691,-85.672454
Young Meadows Presbyterian Church,Montgomery,AL,32.366966,-86.300649
Central Hope Church,Little Rock,AR,34.746481,-92.289595
Christ Church Bentonville,Bentonville,AR,36.372854,-94.208817
Christ Church Conway,Conway,AR,35.088696,-92.442101
Christ Community Church,Fayetteville,AR,36.062584,-94.157433
Christ Redeemer PCA - Mission,Jonesboro,AR,35.842865,-90.703452
Covenant Church,Fayetteville,AR,36.062584,-94.157433
Covenant Presbyterian Church,Fort Smith,AR,35.387222,-94.424898
Covenant Presbyterian Church at Little Rock,Little Rock,AR,34.746481,-92.289595
Covenant Presbyterian Church at Russellville,Russellville,AR,35.278417,-93.133786
First Presbyterian Church at Clarendon,Clarendon,AR,38.885762,-77.096971
Hope Church Hot Springs,Hot Springs,AR,34.503839,-93.055244
Redeemer Presbyterian Church,Siloam Springs,AR,36.188137,-94.540496
Trinity Fellowship Church,Sherwood,AR,34.815091,-92.224315
Trinity Grace Church,Rogers,AR,36.33202,-94.118537
Ascension Church of Phoenix,Phoenix,AZ,33.448437,-112.074142
Blessed Church in Greater Phoenix,Tempe,AZ,33.425506,-111.940009
Catalina Foothills Church,Tucson,AZ,32.222877,-110.974848
Church of the Resurrection,Flagstaff,AZ,35.198752,-111.651823
Covenant Presbyterian Church,Sun City West,AZ,33.661981,-112.34127
Desert Palms Church,Chandler,AZ,33.306161,-111.84125
Desert Springs Presbyterian Church,Tucson,AZ,32.222877,-110.974848
Fellowship of Grace Church,Peoria,AZ,33.580612,-112.237294
Grace Presbyterian Church,Sierra Vista,AZ,31.545571,-110.277225
Holy Cross Church,Tucson,AZ,32.222877,-110.974848
Hope Community Church,Queen Creek,AZ,33.248386,-111.634159
King of Kings,Goodyear,AZ,33.435367,-112.357601
Midtown Presbyterian Church,Tucson,AZ,32.222877,-110.974848
New City Barrio Nuevo Phoenix,Laveen,AZ,33.361881,-112.153386
New Valley Church,Chandler,AZ,33.306161,-111.84125
Reconciled Church of South Scottsdale ,Scottsdale,AZ,33.494219,-111.926018
Rincon Mountain Presbyterian Church,Tucson,AZ,32.222877,-110.974848
Sierra Vista United Korean Presbyterian Church,Sierra Vista,AZ,31.545571,-110.277225
Sojourn Church,Scottsdale,AZ,33.494219,-111.926018
Christ Covenant Church,Langley,BC,49.120278,-122.659722
Faith Reformed Presbyterian Church,Vancouver,BC,49.279862,-123.116838
Free Grace Presbyterian Church,Vernon,BC,50.266867,-119.271816
Grace Vancouver,Vancouver,BC,49.279862,-123.116838
Lighthouse Presbyterian Church,Victoria,BC,48.428318,-123.364953
Abundant Community Church,Anaheim,CA,33.834752,-117.911732
Aliso Creek Church,Aliso Viejo,CA,33.576138,-117.725812
Antioch Korean Christian Community Church,La Mirada,CA,33.906097,-118.010709
Arise Presbyterian Church,Vista,CA,33.200037,-117.242536
Ark Mission Church,Carmichael,CA,38.617127,-121.328284
Berkeley Grace Presbyterian Church,Berkeley,CA,37.870839,-122.272863
Burbank Korean Presbyterian Church,Burbank,CA,34.181648,-118.325855
California Christ Community Church,Stanton,CA,33.808398,-117.991286
Calvary Presbyterian Church,Glendale,CA,34.146942,-118.247847
Canyon Creek Presbyterian Church,San Ramon,CA,37.764802,-121.954439
Chinese Reformed Church of San Diego,Poway,CA,32.962823,-117.035865
Christ Church Ventura,Ventura,CA,-2.248079,-79.123366
Christ Presbyterian Church,Murrieta,CA,33.560832,-117.210656
Christ Presbyterian Church,Santa Barbara,CA,34.422132,-119.702667
Church in the Canyon,Calabasas,CA,34.144664,-118.644097
City Light Church,Los Angeles,CA,34.053691,-118.242766
Covenant Presbyterian Church,Paso Robles,CA,35.626765,-120.691246
CrossPoint Church of Sacramento,Sacramento,CA,38.581061,-121.493895
Disciple Community Church,Irvine,CA,33.685697,-117.825982
East Sarang Community Church,Chino,CA,34.013356,-117.690075
Eden Korean Presbyterian Church,Castro Valley,CA,37.694552,-122.085743
El Centro Korean Church,El Centro,CA,32.792,-115.563051
Foothills Neighborhood Church,Sierra Madre,CA,34.161673,-118.052846
Gardena Presbyterian Church,Gardena,CA,33.896359,-118.305304
Gateway Presbyterian Church,San Fernando,CA,36.464393,-6.198203
Global Mission Church,Diamond Bar,CA,34.028623,-117.810337
Grace Church of Marin,San Anselmo,CA,37.974432,-122.561503
Grace Fresno Presbyterian Church,Fresno,CA,36.739442,-119.784831
Grace Presbyterian Church,Yorba Linda,CA,33.89011,-117.824971
Grace Presbyterian Church of Silicon Valley,Palo Alto,CA,37.444329,-122.159847
Grace Sacramento,Sacramento,CA,38.581061,-121.493895
Grace South Bay,San Jose,CA,37.336191,-121.890583
Grace Valley Church,Los Altos,CA,37.379063,-122.116578
Hamonah Presbyterian Church,Pleasant Hill,CA,37.947979,-122.060796
Hana Presbyterian Church,Gardena,CA,33.896359,-118.305304
Harbor City Church,San Diego,CA,32.71742,-117.162773
Harbor Presbyterian Church UTC,San Diego,CA,32.71742,-117.162773
Holy City Church,Cerritos,CA,33.864429,-118.053932
Il Shin Presbyterian Church,Buena Park,CA,33.870413,-117.996217
