name,addr,state,lat,lon
Orlando Chinese Evangelical Christian Church,Casselberry,FL,28.67147,-81.338201
Orlando Korean Presbyterian Church in America,Orlando,FL,28.542111,-81.37903
Ortega Presbyterian Church,Jacksonville,FL,30.332184,-81.655651
Panama City Korean Church,Panama City,FL,30.160083,-85.654573
Pine Ridge Presbyterian Church,Orlando,FL,28.542111,-81.37903
Pinelands Presbyterian Church,Cutler Bay,FL,25.5783,-80.3377
Pinewood Church,Jacksonville,FL,30.332184,-81.655651
Pinewoods Presbyterian Church,Pensacola,FL,30.421309,-87.216915
Ponte Vedra Presbyterian Church,Ponte Vedra Beach,FL,30.227465,-81.380082
Providence Christian Church,Cape Coral,FL,26.605943,-81.980677
Redeemer Community Church,Hudson,FL,28.361771,-82.693285
Redeemer Community Church PCA,Ocala,FL,29.187199,-82.140092
Redeemer Presbyterian Church,Riverview,FL,27.871197,-82.326988
Redeemer Presbyterian Church,Lakeland,FL,28.039465,-81.949804
Redeemer Presbyterian Church,Inverness,FL,28.835818,-82.330372
Redeemer Presbyterian Church,Titusville,FL,28.612219,-80.807554
Redeemer Presbyterian of North Miami,North Miami,FL,25.890095,-80.186714
Redeemer Winter Haven,Winter Haven,FL,28.022244,-81.732857
Redlands Community Church,Homestead,FL,45.771603,-88.264685
Rio Vista Community Church,Ft. Lauderdale,FL,26.122308,-80.143379
River Oaks Presbyterian Church,Lake Mary,FL,28.753358,-81.341407
Safe Harbor Presbyterian Church,Destin,FL,30.393534,-86.495783
Sand Harbor Presbyterian Church,Jupiter,FL,26.934225,-80.094209
Seacrest Presbyterian Church,Delray Beach,FL,26.461463,-80.07282
Seven Rivers Presbyterian Church,Lecanto,FL,28.851649,-82.487598
Seven Rivers Villages Church,Wildwood,FL,28.865264,-82.038974
Spanish River Church,Boca Raton,FL,26.358689,-80.083098
Springs Presbyterian Church,Dunnellon,FL,29.049143,-82.460933
Spruce Creek Presbyterian Church,Port Orange,FL,28.37329,-81.516372
St Andrews Park Road Presbyterian Church,Hollywood,FL,26.011201,-80.14949
St. John's Presbyterian Church,Winter Garden,FL,28.565665,-81.585674
St. Paul's Presbyterian Church,Orlando,FL,28.542111,-81.37903
St. Petersburg Presbyterian Church,St. Petersburg,FL,27.77038,-82.669509
Strong Tower Church,Lakeland,FL,28.039465,-81.949804
Tampa Bay Presbyterian Church,Tampa,FL,27.94776,-82.458444
Tampa Chodae Community Church,Tampa,FL,27.94776,-82.458444
Tampa Open Kingdom Presbyterian Church in America,Tampa,FL,27.94776,-82.458444
Treasure Coast Presbyterian Church,Stuart,FL,27.197983,-80.251918
Trinity Presbyterian Church,Lakeland,FL,28.039465,-81.949804
Truth Point Church,West Palm Beach,FL,26.715364,-80.053294
University Presbyterian Church,Orlando,FL,28.542111,-81.37903
University Presbyterian Mission,Tampa,FL,27.94776,-82.458444
Warrington Presbyterian Church,Pensacola,FL,30.421309,-87.216915
Waypoint Church,Ponte Vedra,FL,30.093778,-81.443173
Westminster Presbyterian Church,Jacksonville,FL,30.332184,-81.655651
Westminster Presbyterian Church,Ft. Myers,FL,26.640628,-81.872308
Westminster Presbyterian Church,Brandon,FL,27.937801,-82.285925
Westminster Presbyterian Church,Milton,FL,30.632415,-87.039688
Westminster Presbyterian Church,Ft. Walton Beach,FL,30.405755,-86.618842
Westminster Presbyterian Church,Tallahasse,FL,30.438083,-84.280933
Westtown Church,Tampa,FL,27.94776,-82.458444
Wildwood Presbyterian Church,Tallahassee,FL,30.438083,-84.280933
Willow Creek Church,Winter Springs,FL,28.698706,-81.305476
Word of Life Church,North Port,FL,27.044224,-82.235925
Atlanta Matupi Community Church,Stone Mountain,GA,33.808092,-84.170627
Atlanta Saints Presbyterian Church,Suwanee,GA,34.05149,-84.0713
Atlanta Westside Presbyterian Church,Atlanta,GA,33.748992,-84.390264
Augusta Hope Church PCA,Augusta,GA,33.470971,-81.974843
Bethany Presbyterian Church,Greensboro,GA,33.575683,-83.182379
Brookhaven Presbyterian Church,Atlanta,GA,33.748992,-84.390264
Carriage Lane Presbyterian Church,Peachtree City,GA,33.396783,-84.595763
Chapel In The Gardens Presbyterian Church,Garden City,GA,32.114372,-81.154001
Chattanooga Valley Presbyterian Church,Flintstone,GA,34.941743,-85.343569
Cherokee Presbyterian Church,Canton,GA,34.236762,-84.490762
Chestnut Mountain Presbyterian Church,Flowery Branch,GA,34.185102,-83.925181
Christ Community Church,Kennesaw,GA,34.023434,-84.61549
Christ Community Church,Athens,GA,33.959768,-83.376398
Christ Community Presbyterian Church,Thomasville,GA,30.836582,-83.978781
Christ Covenant,Woodstock,GA,34.101411,-84.519219
Christ Covenant Presbyterian Church,Peachtree Corners,GA,33.970101,-84.221587
Christ Fellowship,Roswell,GA,34.02332,-84.360022
Christ Presbyterian Church,Clarkesville,GA,34.612597,-83.524893
Christ Presbyterian Church,Newnan,GA,33.380672,-84.799657
Christ Presbyterian Church Gwinnett,Lawrenceville,GA,33.956215,-83.987963
Christ the King,Flowery Branch,GA,34.185102,-83.925181
ChristChurch Presbyterian,Atlanta,GA,33.748992,-84.390264
ChristChurch Suwanee,Suwanee,GA,34.05149,-84.0713
Christos Community Church,Norcross,GA,33.941213,-84.213531
Church of the Redeemer,Atlanta,GA,33.748992,-84.390264
City Church - Eastside,Atlanta,GA,33.748992,-84.390264
Cliffwood Presbyterian Church,Augusta,GA,33.470971,-81.974843
Community Church Griffin,Griffin,GA,33.246781,-84.26409
Coram Deo Presbyterian Church,Suwanee,GA,34.05149,-84.0713
Covenant Family Presbyterian Mission,McDonough,GA,33.447336,-84.146862
Covenant Presbyterian Church,Milledgeville,GA,33.080143,-83.232099
Covenant Presbyterian Church,Warner Robins,GA,32.620097,-83.606568
Covenant Presbyterian Church,Fayetteville,GA,33.448726,-84.454926
Covenant Presbyterian Church,Dublin,GA,32.540445,-82.903754
Creekstone Church,Dahlonega,GA,34.532848,-83.984572
Dayspring Presbyterian Church,Forsyth,GA,33.034297,-83.938242
East Cobb Presbyterian Church,Marietta,GA,33.952847,-84.549615
Eternal Life Presbyterian Church,Suwanee,GA,34.05149,-84.0713
Faith Korean Presbyterian Mission,Alpharetta,GA,34.070958,-84.274733
Faith Presbyterian Church,Watkinsville,GA,33.862896,-83.408771
First Presbyterian Church,Ft. Oglethorpe,GA,34.951356,-85.241511
First Presbyterian Church,Waynesboro,GA,33.089873,-82.015674
First Presbyterian Church,Augusta,GA,33.470971,-81.974843
First Presbyterian Church,Sandersville,GA,32.983281,-82.811603
First Presbyterian Church,Summerville,GA,34.480642,-85.347734
First Presbyterian Church,Macon,GA,32.840695,-83.632402
First Presbyterian Church,Villa Rica,GA,33.732052,-84.919108
First Presbyterian Church,Pooler,GA,32.115898,-81.249513
Golden Isles Presbyterian Church,St. Simons Island,GA,31.15051,-81.36954
Good Shepherd Presbyterian Church,Athens,GA,33.959768,-83.376398
Grace Church,Canton,GA,34.236762,-84.490762
Grace Church for all Nations,Stone Mountain,GA,33.808092,-84.170627
Grace Church of the Islands,Savannah,GA,32.080926,-81.091177
Grace Community Church,Macon,GA,32.840695,-83.632402
Grace Community Church of Hall County,Buford,GA,34.120656,-84.004351
Grace Community Presbyterian Church,Lyons,GA,32.204355,-82.321791
Grace Community Presbyterian Church,Suwanee,GA,34.05149,-84.0713
Grace Community Trenton,Trenton,GA,34.872022,-85.50913
Grace Covenant Church - PCA,Dallas,GA,33.923714,-84.840773
Grace Han-Mee Presbyterian Mission,Lilburn,GA,33.890104,-84.142972
Grace Presbyterian Church,Blairsville,GA,34.875907,-83.958371
Grace Presbyterian Church,Cedartown,GA,34.012443,-85.25594
Grace Presbyterian Church,Dalton,GA,34.769187,-84.970248
Grace Presbyterian Church,Douglasville,GA,33.751497,-84.747714
GracePointe Church of Forsyth,Cumming,GA,34.20732,-84.140193
Haynes Creek Church,Monroe,GA,33.794836,-83.713229
Highlands Presbyterian Church,LaFayette,GA,30.202473,-92.019396
Hope Presbyterian Church,Marietta,GA,33.952847,-84.549615
Houston Lake Presbyterian Church,Kathleen,GA,32.495294,-83.60997
Icthus Presbyterian Mission,Duluth,GA,34.002857,-84.144105
Intown Community Church,Atlanta,GA,33.748992,-84.390264
Jesus Hope Church of Georgia,Suwanee,GA,34.05149,-84.0713
Kainos Church,Lilburn,GA,33.890104,-84.142972
King's Chapel Presbyterian Church,Carrollton,GA,33.58011,-85.076611
Korean Covenant Presbyterian Church,Marietta,GA,33.952847,-84.549615
Korean First Presbyterian Church,Tucker,GA,33.85327,-84.220073
Lake Oconee Presbyterian Church,Eatonton,GA,33.3268,-83.388496
Lakemont Presbyterian Church,Augusta,GA,33.470971,-81.974843
Lord of Glory Fellowship,Athens,GA,33.959768,-83.376398
Macon Korean Presbyterian Church,Macon,GA,32.840695,-83.632402
Midway Presbyterian Church,Powder Springs,GA,33.859549,-84.683824
Mustard Seed Fellowship,Peachtree Corners,GA,33.970101,-84.221587
New Church of Atlanta,Peachtree Corners,GA,33.970101,-84.221587
New City Church,Lawrenceville,GA,33.956215,-83.987963
New Covenant Presbyterian Church,Richmond Hill,GA,31.938238,-81.303552
New Life Presbyterian Church,Tifton,GA,31.452277,-83.509687
North Macon Presbyterian Church,Macon,GA,32.840695,-83.632402
Northgate Presbyterian Church,Albany,GA,31.578206,-84.155681
Northside Presbyterian Church,Winder,GA,33.991909,-83.718437
Oconee Fellowship,Watkinsville,GA,33.862896,-83.408771
Old Peachtree Presbyterian Church,Duluth,GA,34.002857,-84.144105
On-Bit Presbyterian Church,Suwanee,GA,34.05149,-84.0713
Open Door Community Church,Alpharetta,GA,34.070958,-84.274733
Our Love Presbyterian Church,Suwanee,GA,34.05149,-84.0713
Parkview Church,Lilburn,GA,33.890104,-84.142972
Penfield Presbyterian Church,Penfield,GA,-34.6514,138.612
Perimeter Church,Johns Creek,GA,34.018156,-84.190196
Perry Presbyterian Church,Perry,GA,32.45867,-83.731966
Ponce Presbyterian Church,Atlanta,GA,33.748992,-84.390264
Providence Presbyterian Church,Harlem,GA,33.414583,-82.312624
Redeemer Presbyterian Church,Brunswick,GA,31.149953,-81.491489
Redeemer Presbyterian Church,Evans,GA,33.5338,-82.130589
Redeemer Presbyterian Church,Athens,GA,33.959768,-83.376398
Redeemer Valdosta,Valdosta,GA,30.832702,-83.278485
Redemption Fellowship Presbyterian Church,Fayetteville,GA,33.448726,-84.454926
Renewal Church Loganville,Loganville,GA,33.838998,-83.900738
Restoration Presbyterian Church,Dacula,GA,33.988717,-83.897957
Resurrection Presbyterian Church,Athens,GA,33.959768,-83.376398
Riverside Community Church,Cartersville,GA,34.165097,-84.799938
Rock Creek Fellowship,Lookout Mountain,GA,34.977576,-85.357736
Sae Han Presbyterian Church of Atlanta,Alpharetta,GA,34.070958,-84.274733
Saebit Korean Presbyterian Church,Newnan,GA,33.380672,-84.799657
Salem Church,Franklin,GA,33.277618,-85.097997
Savannah First Korean Presbyterian Church,Bloomingdale,GA,32.132425,-81.299002
Seven Hills Fellowship,Rome,GA,34.257038,-85.164673
Siloam Korean Church of Atlanta,Norcross,GA,33.941213,-84.213531
Smyrna Presbyterian Church,Smyrna,GA,33.883887,-84.514745
South Liberty Presbyterian Church,Sharon,GA,43.803496,-79.335608
St. Andrews Presbyterian Church,Americus,GA,32.072386,-84.232688
St. Andrews Presbyterian Church,Columbus,GA,32.461071,-84.988045
Strong Tower Fellowship Mission,Macon,GA,32.840695,-83.632402
The Kirk Presbyterian,Savannah,GA,32.080926,-81.091177
The Rock Presbyterian Church,Stockbridge,GA,33.544278,-84.233809
The Vine Community Church,Cumming,GA,34.20732,-84.140193
Trinity Presbyterian Church,Statesboro,GA,32.449014,-81.783291
Trinity Presbyterian Church,Covington,GA,33.596782,-83.860183
Tucker Presbyterian Church,Tucker,GA,33.85327,-84.220073
Unity Korean Presbyterian Church,Johns Creek,GA,34.018156,-84.190196
Village Church of East Atlanta,Atlanta,GA,33.748992,-84.390264
Westminster Japanese Church,Roswell,GA,34.02332,-84.360022
Westminster Presbyterian Church,Martinez,GA,33.517358,-82.075673
Westminster Presbyterian Church,Columbus,GA,32.461071,-84.988045
Westminster Presbyterian Church,Atlanta,GA,33.748992,-84.390264
Westminster Presbyterian Church,Gainesville,GA,34.297879,-83.824066
Wheat Mission in Atlanta,Norcross,GA,33.941213,-84.213531
Hawaii Central Church,Honolulu,HI,21.304547,-157.855676
Kahikolu Church Kauai,Koloa,HI,21.904228,-159.465733
The City Church of Honolulu ,Honolulu,HI,21.304547,-157.855676
Trinity Church Central Oahu,Mililani,HI,21.450831,-158.009578
Trinity Presbyterian Church,Kailua,HI,21.393623,-157.743759
Bethany Evangelical & Reformed Church,Ledyard,IA,43.421624,-94.162184
Colfax Center Presbyterian Church,Holland,IA,42.398872,-92.800477
Cornerstone Presbyterian Church,Ackley,IA,42.553939,-93.052679
Grace Reformed Presbyterian Church,Orange City,IA,43.007242,-96.058314
Hope Evangelical Church,North Liberty,IA,41.748868,-91.597256
Hospers Presbyterian Church,Hospers,IA,43.071927,-95.904461
New Life Fellowship Church,Elk Run Heights,IA,42.466932,-92.256572
One Ancient Hope Presbyterian Church,Iowa City,IA,41.661256,-91.529911
Redeemer Presbyterian Church,Des Moines,IA,41.591032,-93.604666
Trinity Presbyterian Church,Cedar Rapids,IA,41.975887,-91.670405
All Saints Presbyterian Church,Meridian,ID,43.60863,-116.392326
Boise Presbyterian Mission,Boise,ID,43.616616,-116.200886
All Souls Presbyterian Church,Champaign-Urbana,IL,40.109381,-88.227287
Bethel Christian Church (Chicago),Chicago,IL,41.875562,-87.624421
Bethel Christian Church (Wheeling),Niles,IL,42.028932,-87.812235
Bethel Presbyterian Church of Chicago,Palatine,IL,42.110578,-88.033689
Bethel Reformed Presbyterian Church,Sparta,IL,38.123105,-89.701766
Boulevard Presbyterian Church,Oak Park,IL,41.887815,-87.788762
Center Grove Presbyterian Church,Edwardsville,IL,38.811436,-89.953157
Christ Church ,Normal,IL,40.509287,-88.98438
Christ Presbyterian Church (PCA),Roselle,IL,41.98499,-88.079718
Concord Presbyterian Church,Waterloo,IL,38.335886,-90.149834
Cornerstone Presbyterian Church,Grayslake,IL,42.343352,-88.041219
Covenant Fellowship Church of South Holland,South Holland,IL,41.600868,-87.606989
Covenant Presbyterian Church,Chicago,IL,41.875562,-87.624421
Crete Church,Crete,IL,41.444533,-87.631383
Ethos Presbyterian Church,Chicago,IL,41.875562,-87.624421
Exodus Presbyterian Church,Springfield,IL,39.799018,-89.643958
Faith Community Church,West Chicago,IL,41.884751,-88.203961
First Church (PCA),Lansing,IL,41.566225,-87.538157
First Korean Presbyterian Church,Glenview,IL,42.070066,-87.811404
Forreston Grove Church,Forreston,IL,42.126174,-89.579115
Grace Church,Lansing,IL,41.566225,-87.538157
Grace Fellowship Church,Freeport,IL,42.296686,-89.621227
Grace Presbyterian Church,Carbondale,IL,37.727469,-89.216655
Grace Presbyterian Church,Peoria,IL,40.693861,-89.589101
Grace Presbyterian Church of the North Shore,Winnetka,IL,42.10807,-87.736529
Grandcote Reformed Presbyterian Church,Coulterville,IL,38.186439,-89.60565
Hanna City Presbyterian Church,Hanna City,IL,40.69169,-89.795177
Highland Korean Presbyterian Church,Vernon Hills,IL,42.220489,-87.98036
Korean Church of Chicago,Hoffman Estates,IL,42.042726,-88.079278
Lakeview Presbyterian Church,Vernon Hills,IL,42.220489,-87.98036
Lincoln Square Presbyterian Church,Chicago,IL,41.875562,-87.624421
Marissa Presbyterian Church,Marissa,IL,38.250048,-89.750099
Missio Dei Church,Manhattan,IL,41.422532,-87.985886
Naperville Presbyterian Church,Naperville,IL,41.77287,-88.147928
Peace Community Church,Frankfort,IL,41.495867,-87.848661
Petra Presbyterian Church,Mount Prospect,IL,42.066417,-87.937291
Providence Presbyterian Church,Troy,IL,38.729215,-89.883154
Redeemer Presbyterian,Peoria,IL,40.693861,-89.589101
Redemption Presbyterian Church,Tinley Park,IL,41.573367,-87.784494
Reformed Presbyterian Church of Cutler,Cutler,IL,38.032273,-89.565651
The Redemption Church,Lisle,IL,41.801159,-88.074769
Trinity Presbyterian Church,Hinsdale,IL,41.80246,-87.929984
Trinity Presbyterian Church,Aledo,IL,41.199757,-90.749306
Vineyard Presbyterian Church,Elmhurst,IL,41.899475,-87.940342
Westminster Presbyterian Church,Elgin,IL,42.03726,-88.281099
Westminster Presbyterian Church,Paxton,IL,40.460313,-88.09532
Westminster Presbyterian Church,Godfrey,IL,38.955603,-90.186777
Christ Community Church,Carmel,IN,39.978802,-86.118926
Christ Presbyterian Church,Richmond,IN,39.82869,-84.889852
City Hope Fellowship,Muncie,IN,40.193689,-85.386527
Covenant Presbyterian Church,Hammond,IN,41.583366,-87.500043
Crossroads Community Church,Fishers,IN,39.955593,-86.013873
Eunhye Korean Presbyterian Church of Indianapolis,Indianapolis,IN,39.768333,-86.15835
Fountain Square Presbyterian Church,Indianapolis,IN,39.768333,-86.15835
Good Shepherd Presbyterian Church,Valparaiso,IN,41.473095,-87.061141
Grace Church PCA,Dyer,IN,41.494202,-87.521707
Grace Presbyterian Church,Indianapolis,IN,39.768333,-86.15835
Heart City Church,Elkhart,IN,41.681994,-85.976667
Hope Presbyterian Church,Bloomington,IN,39.16704,-86.534288
Living Branch,Noblesville,IN,40.045592,-86.008596
Living Hope Church,Terre Haute,IN,39.466703,-87.413912
Michiana Covenant Church,Granger,IN,41.753382,-86.110838
Midtown Church,Indianapolis,IN,39.768333,-86.15835
New City Church,Indianapolis,IN,39.768333,-86.15835
New Life Presbyterian Church,Yorktown,IN,40.173655,-85.49414
Providence Church,Evansville,IN,37.974765,-87.555848
Providence Presbyterian Church,Ft. Wayne,IN,41.07999,-85.138602
Redeemer Presbyterian Church,Indianapolis,IN,39.768333,-86.15835
Resurrection Presbyterian Church,West Lafayette,IN,40.425869,-86.908066
Trinity Church of Brownsburg,Indianapolis,IN,39.768333,-86.15835
Trinity Presbyterian Church,DeMotte,IN,41.195037,-87.19864
Westminster Presbyterian Church,Muncie,IN,40.193689,-85.386527
Westminster Presbyterian Church,Vincennes,IN,38.677269,-87.528633
Evangel Presbyterian Church,Wichita,KS,37.692236,-97.337545
Heartland Community Church,Wichita,KS,37.692236,-97.337545
Kirk of the Plains,Andover,KS,37.713904,-97.136429
Manhattan Presbyterian Church,Manhattan,KS,39.183608,-96.571669
New Hope Presbyterian Church in America,Olathe,KS,38.883886,-94.81887
Oak Hills Presbyterian Church,Shawnee,KS,39.041672,-94.720238
Park Woods Presbyterian Church,Overland Park,KS,38.97425,-94.68517
Redeemer Presbyterian Church,Overland Park,KS,38.97425,-94.68517
Christ Covenant Presbyterian Church,Lexington,KY,38.046407,-84.497039
Christ Presbyterian Church,Owensboro,KY,37.774215,-87.11333
Community Presbyterian Church,Louisville,KY,38.254238,-85.759407
Covenant Community Church,Richmond,KY,37.747857,-84.294654
Covenant Presbyterian Church,Cynthiana,KY,38.390353,-84.294101
Grace & Peace Church,Bowling Green,KY,36.99032,-86.443602
Grace and Peace Presbyterian Church,Bellevue,KY,39.106708,-84.482648
Grace Church Elizabethtown,Elizabethtown,KY,37.693952,-85.859129
Grace Fellowship Middlesboro,Middlesboro,KY,36.608416,-83.716582
Grace PCA,Danville,KY,37.645649,-84.772182
Hope Presbyterian Church,Lexington,KY,38.046407,-84.497039
Korea SaeHan Church of Louisville,Louisville,KY,38.254238,-85.759407
Redeemer Presbyterian Church,Louisville,KY,38.254238,-85.759407
Tates Creek Presbyterian Church,Lexington,KY,38.046407,-84.497039
Trinity Church PCA,Richmond,KY,37.747857,-84.294654
Trinity Presbyterian Church of Northern Kentucky,Ludlow,KY,39.09256,-84.547444
Bethel Presbyterian Church,Lake Charles,LA,30.226595,-93.217376
Christ Community Church,St. Francisville,LA,30.780724,-91.376335
Covenant Reformed Presbyterian Church,Ruston,LA,32.523205,-92.637927
Delhi Presbyterian Church,Delhi,LA,32.457642,-91.493174
Faith Presbyterian Church,Clinton,LA,30.865736,-91.015659
Grace Presbyterian Church,Metairie,LA,29.989993,-90.150543
Grace Presbyterian Church,Baton Rouge,LA,30.44596,-91.18738
Grace Presbyterian Church,Shreveport,LA,32.522183,-93.765194
Ouachita Presbyterian Church Plant,Monroe,LA,32.509311,-92.119301
Parish Church,Lafayette,LA,30.22409,-92.019843
Plains Presbyterian Church,Zachary,LA,30.648519,-91.156496
Redeemer Presbyterian Church,New Orleans,LA,29.949932,-90.070116
South Baton Rouge Presbyterian Church,Baton Rouge,LA,30.44596,-91.18738
St. Roch Community Church,New Orleans,LA,29.949932,-90.070116
Three Rivers Presbyterian Church,Covington,LA,30.47547,-90.100911
Westminster Presbyterian Church,Baton Rouge,LA,30.44596,-91.18738
Bethel Presbyterian Church,Marlborough,MA,42.345927,-71.552287
Center Grace Church,Beverly,MA,42.558428,-70.880049
Christ the King Dorchester,Dorchester,MA,42.297321,-71.074495
Christ the King Newton,Newton Lower Falls,MA,42.329172,-71.258548
Christ The King Presbyterian Church,Cambridge,MA,52.205322,0.119121
Christ the King Presbyterian Church in Quincy,Quincy,MA,42.250991,-71.003737
Christ the King United,Woburn,MA,42.479262,-71.152277
Christ the Redeemer - Quincy,Quincy,MA,42.250991,-71.003737
Citylife Chestnut Hill,Newton,MA,42.337041,-71.209221
Citylife Presbyterian Church of Boston,Boston,MA,42.360253,-71.058291
Covenant Church,Millers Falls,MA,42.579154,-72.493414
First Presbyterian Church North Shore ,Ipswich,MA,42.679273,-70.841158
Grace Presbyterian Church,Hanover,MA,39.192885,-76.724137
Grace Presbyterian Church,Springfield,MA,40.420343625,-3.702762125
Grace Presbyterian Church Worcester,Worcester,MA,52.196754,-2.224216
Greater Springfield Korean Church,Agawam,MA,42.066186,-72.648463
New Life Presbyterian Community Church,Framingham,MA,42.30957,-71.44131
Parkway Presbyterian Church,Boston,MA,42.360253,-71.058291
Penuel Presbyterian Church,Lowell,MA,42.633425,-71.316172
Redeemer Presbyterian Church,Concord,MA,42.460519,-71.348896
Seven Hills Presbyterian Church,Somerville,MA,42.387597,-71.099497
West Springfield Covenant Community Church,West Springfield,MA,42.105237,-72.621371
Abbott Memorial Presbyterian Church,Baltimore,MD,39.290882,-76.610759
Aisquith Presbyterian Church,Parkville,MD,39.377329,-76.539688
Broadneck Evangelical Presbyterian Church,Arnold,MD,39.032078,-76.502543
Calvary Gospel Presbyterian Church,Towson,MD,39.401855,-76.602388
Chapelgate Presbyterian Church,Marriottsville,MD,39.350196,-76.899381
Christ New Community,Waldorf,MD,38.626388,-76.910658
Christ Presbyterian Church,Germantown,MD,39.173162,-77.27165
Christ Reformed Presbyterian Church,Laurel,MD,39.104412,-76.866923
City Church Presbyterian,Baltimore,MD,39.290882,-76.610759
City of Hope Church,Columbia,MD,39.215621,-76.858205
Columbia Presbyterian Church,Columbia,MD,39.215621,-76.858205
Cornerstone Church PCA,Manchester,MD,39.665609,-76.878193
Cornerstone Presbyterian Church,Lexington Park,MD,38.264173,-76.453107
Covenant of Grace Presbyterian Church,Reisterstown,MD,39.469549,-76.829421
Covenant Presbyterian Church of Maryland,Laurel,MD,39.104412,-76.866923
DaySpring Presbyterian Church,Glen Burnie,MD,39.16263,-76.625076
Deep Run Church,Westminster,MD,39.575264,-76.995928
Evangelical Presbyterian Church,Annapolis,MD,38.97864,-76.492786
Fair Hill Church,Elkton,MD,39.606507,-75.833093
Faith Christian Fellowship Church,Baltimore,MD,39.290882,-76.610759
Faith Presbyterian Church,Cumberland,MD,39.65265,-78.762383
Faith Reformed Presbyterian Church,Frederick,MD,39.415779,-77.412756
Forest Hill Presbyterian Church,Forest Hill,MD,39.585106,-76.387739
Gateway Community of Faith,White Hall,MD,39.621902,-76.629109
Gloria Korean Presbyterian Church,Glen Burnie,MD,39.16263,-76.625076
Good Hope Presbyterian Church,Fulton,MD,39.150941,-76.923031
Grace Christian Fellowship,Hancock,MD,39.698981,-78.179729
Grace Evangelical Presbyterian Church,Davidsonville,MD,38.92287,-76.627737
Grace Point Presbyterian Church,Severn,MD,39.127886,-76.686913
Grace Reformed Fellowship,Hagerstown,MD,39.641922,-77.720264
Grace Reformed Presbyterian Church,Baltimore,MD,39.290882,-76.610759
Great Love Mission Church,Rockville,MD,39.081799,-77.151684
Han-Sarang Evangelical Presbyterian Church,Millersville,MD,39.059554,-76.648022
Harris Creek Community Church,Baltimore,MD,39.290882,-76.610759
Harvest Fellowship,Lusby,MD,38.410358,-76.454626
Harvest Presbyterian Church,Clarksville,MD,39.206545,-76.942918
Hope Chapel,Lutherville,MD,39.421218,-76.626081
Hunt Valley Church,Hunt Valley,MD,39.492261,-76.658953
Inverness Presbyterian Church,Dundalk,MD,39.257411,-76.523675
Living Hope Presbyterian Church,Havre de Grace,MD,39.548996,-76.091472
Loch Raven Presbyterian Church,Parkville,MD,39.377329,-76.539688
Mosaic Community Church,Silver Spring,MD,38.995946,-77.027623
Mount Airy Presbyterian Church,Mount Airy,MD,39.376215,-77.154704
New Covenant Presbyterian Church,Abingdon,MD,39.462331,-76.279124
New Song Community Church,Baltimore,MD,39.290882,-76.610759
Pasadena Evangelical Presbyterian Church,Pasadena,MD,39.136186,-76.549084
Port Towns Church,Bladensburg,MD,38.9393,-76.933798
Providence Presbyterian Church,Salisbury,MD,38.366027,-75.600996
Redeemer Presbyterian Church,Kingsville,MD,39.448792,-76.417968
Reformed Presbyterian Church of Bowie,Bowie,MD,38.942446,-76.730172
River's Edge Community Church,Oella,MD,39.274125,-76.786667
Rosebrook Presbyterian Church,Rockville,MD,39.081799,-77.151684
Safe Harbor Presbyterian Church,Stevensville,MD,38.980596,-76.314442
Seongdo Korean Presbyterian Church,Derwood,MD,39.11733,-77.161092
Severn Run Evangelical Presbyterian Church,Millersville,MD,39.059554,-76.648022
Severna Park Evangelical Presbyterian Church,Pasadena,MD,39.136186,-76.549084
Shady Grove Presbyterian Church,Derwood,MD,39.11733,-77.161092
Shore Harvest Presbyterian Church,Easton,MD,38.774495,-76.076307
Timonium Presbyterian Church,Timonium,MD,39.436844,-76.618704
Trinity Presbyterian Church,Gambrills,MD,39.067054,-76.665245
Valley Presbyterian Church,Lutherville,MD,39.421218,-76.626081
Wallace Presbyterian Church,College Park,MD,38.980666,-76.936919
WCI Presbyterian Church,Cumberland,MD,39.65265,-78.762383
Christ the Redeemer Presbyterian Church,Portland,ME,43.661028,-70.25486
Free Grace Presbyterian Church,Lewiston,ME,44.100351,-70.214776
Christ Church,Grand Rapids,MI,42.963241,-85.667864
Christ Church Ann Arbor,Ann Arbor,MI,42.268157,-83.731229
Christ the King PCA,Hastings,MI,52.0548365,-0.8429199
Covenant Presbyterian Church,Holland,MI,42.787602,-86.109083
Faith Presbyterian Church,Grandville,MI,42.909598,-85.763096
First Presbyterian Church,Bad Axe,MI,43.801959,-83.000777
Good Shepherd Presbyterian PCA,Kalamazoo,MI,42.291707,-85.587229
Gracehill Church,Grand Rapids,MI,42.963241,-85.667864
Knox Presbyterian Church,Harrison Township,MI,42.570761,-82.845772
Korean Presbyterian Church of Ann Arbor,Ann Arbor,MI,42.268157,-83.731229
New City Presbyterian Church,Ferndale,MI,52.0343906,-0.7361525
Pathway Community Church,Brighton,MI,42.562222,-83.730556
Redeemer Presbyterian Church,Holland,MI,42.787602,-86.109083
Redeemer Presbyterian Church,Traverse City,MI,44.760644,-85.61653
Redeemer Presbyterian Church Detroit,Detroit,MI,42.331551,-83.04664
Trinity Church PCA,Hudsonville,MI,42.870889,-85.865235
Tyrone Covenant Presbyterian Church,Fenton,MI,42.797806,-83.70495
University Reformed Church,East Lansing,MI,42.732031,-84.472168
Christ Church,Mankato,MN,44.163466,-93.999351
CityLife Church,St. Paul,MN,44.949749,-93.093103
Federal Correction Institution Sandstone,Sandstone,MN,46.13106,-92.867423
