,name,addr,lat,lon
0,Amazing Grace Community Church,Lethbridge,AB,49.694285,-112.851562
1,Crestwood Presbyterian Church,Edmonton,AB,53.535411,-113.507996
2,New City Church,Calgary,AB,51.046095,-114.065465
3,Westminster Chapel,Lethbridge,AB,49.694285,-112.851562
4,Woodgreen Presbyterian Church,Calgary,AB,51.046095,-114.065465
5,Anchorage New Life Presbyterian Church,Anchorage,AK,61.216313,-149.894852
6,Faith Presbyterian Church,Anchorage,AK,61.216313,-149.894852
7,Redeemer Presbyterian Church,Kenai,AK,60.554444,-151.258333
8,Altadena Valley Presbyterian Church,Birmingham,AL,33.520682,-86.802433
9,Bethel Presbyterian Church,Union Springs,AL,32.144316,-85.71495
10,Boligee Presbyterian Church,Boligee,AL,32.755965,-88.028907
11,Brent Presbyterian Church,Brent,AL,32.937346,-87.164718
12,Briarwood Presbyterian Church,Birmingham,AL,33.520682,-86.802433
13,Cahaba Park Church PCA,Birmingham,AL,33.520682,-86.802433
14,Catherine Presbyterian Church,Catherine,AL,32.184588,-87.469443
15,Central Presbyterian Church,Emelle,AL,32.7293,-88.314476
16,Christ Church PCA,Trussville,AL,33.619627,-86.608434
17,Christ Community Church,Springville,AL,33.7751,-86.471651
18,Christ Community Church,Helena,AL,33.296224,-86.8436
19,Christ Covenant Presbyterian Church,Cullman,AL,34.174841,-86.84358
20,Christ Presbyterian Church,Mobile,AL,30.694357,-88.043054
21,Christ Presbyterian Church,Owens Cross Roads,AL,34.588146,-86.458877
22,Christ Presbyterian Church of Auburn,Auburn,AL,32.609857,-85.480783
23,Christ Redeemer Church,Mobile,AL,30.694357,-88.043054
24,City Church Midtown,Birmingham,AL,33.520682,-86.802433
25,Clayton Presbyterian Church,Clayton,AL,40.4478165,-79.9013365
26,Collinsville Presbyterian Church,Collinsville,AL,34.264831,-85.860864
27,Community Presbyterian Church,Moody,AL,33.590937,-86.490817
28,Cornerstone Church, PCA,Calera,AL,33.103505,-86.750573
29,Cornerstone Presbyterian Church,Huntsville,AL,34.729847,-86.585901
30,Covenant Presbyterian Church,Birmingham,AL,33.520682,-86.802433
31,Covenant Presbyterian Church,Auburn,AL,32.609857,-85.480783
32,Covenant Presbyterian Church,Eufaula,AL,31.891272,-85.145488
33,Cross Creek Church,Hoover,AL,33.384893,-86.807048
