,name,addr,attend,denom,lat,lon
79,Calvary Tucson,Tucson, AZ,5000,NONDENOM,32.222877,-110.974848
80,Pilgrim Rest Baptist Church,Phoenix, AZ,2200,BAPT,33.448437,-112.074142
81,Phoenix First Assembly of God,Phoenix, AZ,21000,AG,33.448437,-112.074142
82,Calvary Community Church,Phoenix, AZ,12000,CAL,33.448437,-112.074142
83,Palm Valley Community Church,Litchfield Park, AZ,2500,NONDENOM,33.49338,-112.358124
84,The Living Word Bible Church,Mesa, AZ,4427,UNK,33.415112,-111.831479
85,Christ Community Church,Tucson, AZ,2200,NONDENOM,32.222877,-110.974848
86,The Heights Church,Prescott, AZ,3000,CBA,34.539996,-112.468762
87,Cornerstone Christian Fellowship,Chandler, AZ,6000,NONDENOM,33.306161,-111.84125
88,Kingdom in the Valley Christian Church,Litchfield Park, AZ,3300,CHRISTIAN,33.49338,-112.358124
89,City of Grace,Mesa, AZ,4500,NONDENOM,33.415112,-111.831479
90,Scottsdale Bible Church,Scottsdale, AZ,6234,NONDENOM,33.494219,-111.926018
91,Pantano Christian Church,Tucson, AZ,2455,CHRISTIAN,32.222877,-110.974848
92,Redemption Church,Tempe, AZ,4500,NONDENOM,33.425506,-111.940009
93,Vineyard Christian Fellowship of North Phoenix,Glendale, AZ,4100,VINE,33.538686,-112.185994
94,Northwest Community Church,Phoenix, AZ,2500,NONDENOM,33.448437,-112.074142
95,Calvary Chapel of Prescott,Prescott, AZ,2000,CAL,34.539996,-112.468762
96,Faith Community Church,Tucson, AZ,2500,NONDENOM,32.222877,-110.974848
97,Spring of Life Christian Church,Mesa, AZ,2100,UNK,33.415112,-111.831479
98,La Casa de Cristo Lutheran Church,Scottsdale, AZ,2000,LUTH,33.494219,-111.926018
99,Trinity Baptist Church,Kelowna, BC,2200,ABC,49.887918,-119.495902
100,Willingdon Church,Burnaby, BC,5000,MEN,49.24338,-122.972546
101,Broadway Church,Vancouver, BC,2100,UNK,49.279862,-123.116838
102,Willow Park Church,Kelowna, BC,2000,MEN,49.887918,-119.495902
103,Northview Community Church,Abbotsford, BC,2700,MEN,49.052116,-122.329479
104,Bayside Church,Granite Bay, CA,11327,EC,38.763235,-121.163836
105,Crossroads Church,Grass Valley, CA,2500,UNK,39.219061,-121.06292
106,Golden Hills Community Church,Brentwood, CA,4000,BGC,37.931777,-121.696027
107,Saddleback Church,Lake Forest, CA,22055,SBC,33.646926,-117.685921
