,name,addr,attend,denom,lat,lon
340,Church For All Nations,Colorado Springs, CO,2000,UNK,38.833958,-104.825349
341,Christ Community Church,Greeley, CO,2000,EF,40.423314,-104.709132
342,Colorado Community Church Englewood,Englewood, CO,4500,NONDENOM,39.648206,-104.987964
343,Vineyard Church of the Rockies,Fort Collins, CO,2500,VINE,40.550853,-105.066809
344,Resurrection Fellowship,Loveland, CO,2500,NONDENOM,40.397761,-105.07498
345,Rocky Mountain Calvary Chapel,Colorado Springs, CO,3500,CAL,38.833958,-104.825349
346,Faith Bible Chapel,Arvada, CO,5000,NONDENOM,39.800551,-105.081157
347,Mission Hills Church,Littleton, CO,3600,BGC,39.613321,-105.01665
348,Cherry Hills Community Church,Highlands Ranch, CO,6250,EPC,39.549724,-104.969566
349,Eastern Hills Community Church,Centennial, CO,2000,CRC,39.579155,-104.876923
350,Rocky Mountain Christian Church,Niwot, CO,2202,CHRISTIAN,40.103874,-105.170819
351,Word of Life Christian Center,Lone Tree, CO,2000,NONDENOM,39.5361,-104.896368
352,Flatirons Community Church,Lafayette, CO,15495,EVAN,39.993596,-105.089706
353,Woodmen Valley Chapel,Colorado Springs, CO,5500,NONDENOM,38.833958,-104.825349
354,Red Rocks Church,Golden, CO,3200,AG,39.755543,-105.221099
355,First Cathedral,Bloomfield, CT,3500,BAPT,41.826488,-72.730095
356,Valley Community Baptist Church,Avon, CT,2000,BGC,41.809821,-72.830654
357,Faith Church,New Milford, CT,2000,NONDENOM,41.577099,-73.41058
358,New Beginnings Community Church,Darien, CT,2000,NONDENOM,41.078708,-73.469287
359,Black Rock Congregational Church,Fairfield, CT,2000,NONDENOM,41.141208,-73.263726
360,Kingdom Life Christian Church,Milford, CT,2500,NONDENOM,41.222222,-73.05706
361,Crossroads Community Cathedral,E. Hartford, CT,2000,AG,41.782322,-72.612035
362,Walnut Hill Community Church,Bethel, CT,2500,EVAN,41.371206,-73.41401
363,Saint Columba's Episcopal Church,Washington, DC,1800,EPIS,38.895037,-77.036543
364,Rhema Christian Center Church,Washington, DC,2000,NONDENOM,38.895037,-77.036543
365,International Ethiopian Evangelical Church,Washington, DC,1800,AG,38.895037,-77.036543
366,Temple of Praise,Washington, DC,4000,NONDENOM,38.895037,-77.036543
367,Shiloh Baptist Church,Washington, DC,2000,BAPT,38.895037,-77.036543
368,Greater Mt. Calvary Holy Church,Washington, DC,3500,PENT,38.895037,-77.036543
369,Bible Way Temple,Washington, DC,3500,UNK,38.895037,-77.036543
370,Northstar Church,Panama City, FL,2000,NONDENOM,30.160083,-85.654573
371,Sweet Home Missionary Baptist,Miami, FL,2000,MISSBAPT,25.764993375,-80.1852740625
372,First Baptist Church,Panama City, FL,2000,SBC,30.160083,-85.654573
373,McGregor Baptist Church,Fort Myers, FL,3453,SBC,26.640628,-81.872308
374,Church in the Son,Orlando, FL,2200,NONDENOM,28.542111,-81.37903
375,Faith Assembly of God,Orlando, FL,4000,AG,28.542111,-81.37903
376,Church of Hope,Sarasota, FL,2237,AG,27.336581,-82.530855
377,Christ's Church,Jacksonville, FL,4904,CHRISTIAN,30.332184,-81.655651
378,Christian Life Center,Fort Lauderdale, FL,3500,AG,26.122308,-80.143379
379,Olive Baptist Church,Pensacola, FL,3137,SBC,30.421309,-87.216915
380,New Life Christian Fellowship,Jacksonville, FL,2000,NONDENOM,30.332184,-81.655651
381,Christ Church United Methodist Church,Fort Lauderdale, FL,1800,UMC,26.122308,-80.143379
382,Calvary Chapel of Melbourne,West Melbourne, FL,10000,CAL,28.042227,-80.664094
383,Without Walls International Church,Tampa, FL,3000,UNK,27.94776,-82.458444
384,Countryside Christian Center,Clearwater, FL,2000,NONDENOM,27.965853,-82.800103
385,Summit Church,Orlando, FL,4300,NONDENOM,28.542111,-81.37903
386,Campus Church,Pensacola, FL,7000,CHRISTIAN,30.421309,-87.216915
387,Grace Fellowship,West Palm Beach, FL,4000,UNK,26.715364,-80.053294
388,First Baptist Church,Plant City, FL,3000,SBC,28.01633,-82.12348
389,Mount Olive Baptist Church,Fort Lauderdale, FL,3000,BAPT,26.122308,-80.143379
390,Ministerio Internacional El Rey Jesus,Miami, FL,5500,NONDENOM,25.764993375,-80.1852740625
391,Generations Christian Church,Trinity, FL,2252,CHRISTIAN,28.180164,-82.654212
392,Grace Family Church,Lutz, FL,6187,UNK,28.151124,-82.461483
393,Family Worship Center,Lakeland, FL,2600,PENT,28.039465,-81.949804
394,Calvary Chapel Fort Lauderdale,Fort Lauderdale, FL,18521,CAL,26.122308,-80.143379
395,Anastasia Baptist Church,Saint Augustine, FL,1510,SBC,29.894695,-81.31454
396,Bethel Missionary Baptist Church,Tallahassee, FL,6000,MISSBAPT,30.438083,-84.280933
397,Potential Church,Cooper City, FL,12103,SBC,26.057783,-80.269511
398,City of Life Church,Kissimmee, FL,2000,NONDENOM,28.2919,-81.407584
399,Christ Fellowship,Palm Beach Gardens, FL,18965,NONDENOM,26.823395,-80.138655
400,The Family Church,Gainesville, FL,2000,NONDENOM,29.651968,-82.324985
401,The Faith Center Ministries,Sunrise, FL,8000,NONDENOM,26.166689,-80.278757
402,Winners Church,West Palm Beach, FL,2000,IPHC,26.715364,-80.053294
403,Woodland - The Community Church,Bradenton, FL,2001,UNK,27.498928,-82.574819
404,Calvary Chapel of Saint Petersburg,Pinellas Park, FL,3500,CAL,27.842803,-82.699544
405,Primeira Igreja Batista Brasileira,Pompano Beach, FL,2000,BAPT,26.23786,-80.124767
406,Mount Bethel Baptist Church,Fort Lauderdale, FL,2000,BAPT,26.122308,-80.143379
407,New Covenant Baptist Church,Orlando, FL,2200,BAPT,28.542111,-81.37903
408,First Baptist Church of Indian Rocks,Largo, FL,2908,SBC,27.909467,-82.787324
409,First Baptist Church,Jacksonville, FL,4300,SBC,30.332184,-81.655651
410,Christ Life Center,Miami, FL,4000,RCA,25.764993375,-80.1852740625
411,Village View Community Church,Summerfield, FL,2500,COG,29.008592,-82.034809
412,Christian Heritage Church,Tallahassee, FL,3000,NONDENOM,30.438083,-84.280933
413,First Baptist Church,Daytona Beach, FL,1900,SBC,29.210815,-81.022833
414,Faith Christian Center,Jacksonville, FL,2200,UNK,30.332184,-81.655651
415,Grace Church,Cape Coral, FL,2750,UMC,26.605943,-81.980677
416,Miami Vineyard Community Church,Miami, FL,2000,VINE,25.764993375,-80.1852740625
417,South Florida Church of Christ,Davie, FL,2000,COC,26.062867,-80.233104
418,Spanish River Church,Boca Raton, FL,2000,NONDENOM,26.358689,-80.083098
419,New Destiny Christian Center,Apopka, FL,2000,UNK,28.677968,-81.511521
420,Trinity Church,Miami, FL,3500,AG,25.764993375,-80.1852740625
421,Saint Lukes United Methodist Church,Orlando, FL,1967,UMC,28.542111,-81.37903
422,Abundant Living Ministries of Pembroke Pines,Pembroke Pines, FL,2000,IPHC,26.003147,-80.223937
423,Community Christian Church,Tamarac, FL,1971,CHRISTIAN,26.212861,-80.249771
424,Victory Church,Lakeland, FL,3001,AG,28.039465,-81.949804
425,Calvary Christian Center,Ormond Beach, FL,7120,NONDENOM,29.285413,-81.055792
426,Alpha and Omega Church,Miami, FL,2100,NONDENOM,25.764993375,-80.1852740625
427,Trinity Baptist Church,Jacksonville, FL,1800,BAPT,30.332184,-81.655651
428,Summit Church,Estero, FL,1800,UNK,26.438147,-81.806754
429,Oasis Church,Pembroke Pines, FL,2200,SBC,26.003147,-80.223937
430,Shiloh Metropolitan Baptist Church,Jacksonville, FL,6000,BAPT,30.332184,-81.655651
431,The Pentecostals of Cooper City,Cooper City, FL,2000,NONDENOM,26.057783,-80.269511
432,LifePoint Community Church,Tampa, FL,2200,SBC,27.94776,-82.458444
433,First United Methodist Church,Niceville, FL,2030,UMC,30.516864,-86.482172
434,Church of All Nations,Boca Raton, FL,2640,AG,26.358689,-80.083098
435,The Church Group Worldwide,Jacksonville, FL,3400,NONDENOM,30.332184,-81.655651
436,La Catedral del Pueblo,Miami, FL,2000,NONDENOM,25.764993375,-80.1852740625
437,Christ the Rock Community Church,Copper City, FL,2000,NONDENOM,26.057783,-80.269511
438,Christ Episcopal Church,Ponte Vedra Beach, FL,2000,EPIS,30.227465,-81.380082
439,The Crossing Church,Tampa, FL,5000,UNK,27.94776,-82.458444
440,First Baptist Church of Central Florida,Orlando, FL,4000,SBC,28.542111,-81.37903
441,Faithworld,Orlando, FL,5000,NONDENOM,28.542111,-81.37903
442,Saint Marks Episcopal Church,Jacksonville, FL,2500,EPIS,30.332184,-81.655651
443,Van Dyke United Methodist Church,Lutz, FL,2143,UMC,28.151124,-82.461483
444,Church by the Glades,Coral Springs, FL,6457,SBC,26.271192,-80.270604
445,First Baptist Church,Brandon, FL,2750,SBC,27.937801,-82.285925
446,Bay Life Church,Brandon, FL,2500,SBC,27.937801,-82.285925
447,Bell Shoals Baptist Church,Brandon, FL,2985,SBC,27.937801,-82.285925
448,First Baptist Church of Orlando,Orlando, FL,5587,SBC,28.542111,-81.37903
449,Celebration Church,Jacksonville, FL,11096,UNK,30.332184,-81.655651
450,Bethel Baptist Institutional Church,Jacksonville, FL,12000,BAPT,30.332184,-81.655651
451,Bayside Community Church,Bradenton, FL,2000,UNK,27.498928,-82.574819
452,Northland A Church Distributed,Longwood, FL,12000,NONDENOM,28.70085,-81.346558
453,Idlewild Baptist Church,Lutz, FL,7000,SBC,28.151124,-82.461483
454,Christ Journey Church,Coral Gables, FL,2100,BGC,25.72149,-80.268384
455,First Baptist Church of Mandarin,Jacksonville, FL,2000,SBC,30.332184,-81.655651
456,Westside Baptist Church,Gainesville, FL,1800,SBC,29.651968,-82.324985
457,Antioch Missionary Baptist Church,Miami Gardens, FL,7000,MISSBAPT,25.946705,-80.149024
458,New Birth Baptist Church,Miami, FL,9000,BAPT,25.764993375,-80.1852740625
459,Victorious Life Church,Wesley Chapel, FL,3000,AG,28.23973,-82.327866
460,First Presbyterian Church of Orlando,Orlando, FL,2400,PCUSA,28.542111,-81.37903
461,Gulf Breeze United Methodist Church,Gulf Breeze, FL,2324,UMC,30.381469,-87.100502
462,Christ Fellowship,Palmetto Bay, FL,8098,SBC,25.621772,-80.324775
463,King Jesus International Ministry,Miami, FL,12540,NONDENOM,25.764993375,-80.1852740625
464,First Baptist Church of Melbourne,Melbourne, FL,2500,SBC,28.106471,-80.637151
465,Tomoka Christian Church,Ormond Beach, FL,2296,CHRISTIAN,29.285413,-81.055792
466,East Brent Baptist Church,Pensacola, FL,2500,SBC,30.421309,-87.216915
467,Revealing Truth Ministries,Tampa, FL,2500,NONDENOM,27.94776,-82.458444
468,Cristo Mi Redentor,West Palm Beach, FL,3000,PENT,26.715364,-80.053294
469,Coral Ridge Presbyterian Church,Fort Lauderdale, FL,1900,PCA,26.122308,-80.143379
470,Community Christian Church,Ft. Lauderdale, FL,1971,CHRISTIAN,26.122308,-80.143379
471,Life Center Church,Eatonville, FL,2500,UNK,28.618673,-81.386095
472,First Baptist Church at the Mall,Lakeland, FL,3200,SBC,28.039465,-81.949804
473,Meadowbrook Church,Ocala, FL,3001,NONDENOM,29.187199,-82.140092
474,Real Life Christian Church,Clermont, FL,3245,CHRISTIAN,28.549445,-81.772854
475,First Baptist Church,Naples, FL,3523,SBC,26.142198,-81.794294
476,Church at the Springs,Ocala, FL,3000,SBC,29.187199,-82.140092
477,Calvary Chapel Kendall,Miami, FL,2200,CAL,25.764993375,-80.1852740625
478,First Assembly of God,Fort Myers, FL,7426,AG,26.640628,-81.872308
479,First Baptist Church,Fort Lauderdale, FL,2200,SBC,26.122308,-80.143379
480,Discovery Church,Orlando, FL,4500,NONDENOM,28.542111,-81.37903
481,Iglesia El Calvario Assembly of God,Orlando, FL,5250,AG,28.542111,-81.37903
482,Trinity Church International,Lake Worth, FL,4012,AG,26.596347,-80.181643
483,Potter's House Christian Fellowship,Jacksonville, FL,3000,UNK,30.332184,-81.655651
484,New Dimensions Christian Center,Pensacola, FL,3300,NONDENOM,30.421309,-87.216915
485,Beach United Methodist Church,Jacksonville Beach, FL,2069,UMC,30.294686,-81.39314
486,First Baptist Church of Oviedo,Oviedo, FL,2461,SBC,28.670253,-81.208494
487,Iglesia Cristiana Segadores De Vida,Hollywood, FL,7000,NONDENOM,26.011201,-80.14949
488,South Biscayne Baptist Church,North Port, FL,2000,SBC,27.044224,-82.235925
489,Calvary Baptist Church,Clearwater, FL,2419,SBC,27.965853,-82.800103
490,Peachtree Presbyterian Church,Atlanta, GA,3171,PCUSA,33.748992,-84.390264
491,Salem Bible Church,Atlanta, GA,2000,UNK,33.748992,-84.390264
492,Perimeter Church,Duluth, GA,3900,PCA,34.002857,-84.144105
493,Crossroads Baptist Church,Newnan, GA,2607,SBC,33.380672,-84.799657
494,Fairfield Baptist Church,Lithonia, GA,2000,BAPT,33.712331,-84.105194
495,Calvary Chapel Stone Mountain,Lilburn, GA,2000,CAL,33.890104,-84.142972
496,Johnson Ferry Baptist Church,Marietta, GA,5000,SBC,33.952847,-84.549615
497,Overcoming by Faith,Savannah, GA,2000,4SQ,32.080926,-81.091177
498,Greater Piney Grove Baptist Church,Atlanta, GA,4000,BAPT,33.748992,-84.390264
499,Peace Baptist Church,Decatur, GA,1800,BAPT,33.773758,-84.296069
500,Savannah Christian Church,Savannah, GA,7331,CHRISTIAN,32.080926,-81.091177
501,Roswell United Methodist Church,Roswell, GA,2100,UMC,34.02332,-84.360022
502,First Baptist Church,Atlanta, GA,4931,SBC,33.748992,-84.390264
503,Oakwood Baptist Church,Chickamauga, GA,2415,SBC,34.87115,-85.290247
504,Church of the Apostles,Atlanta, GA,2500,ANGLICAN,33.748992,-84.390264
505,Turner Chapel Ame Church,Marietta, GA,4400,AME,33.952847,-84.549615
506,Greenforest Community Baptist Church,Decatur, GA,2300,SBC,33.773758,-84.296069
507,Athens Church,Athens, GA,2000,UNK,33.959768,-83.376398
508,Antioch Baptist Church North,Atlanta, GA,4000,NBC,33.748992,-84.390264
509,Wildwood Baptist Church,Acworth, GA,2500,BGC,34.065933,-84.67688
510,Mountain Lake Church,Cumming, GA,2500,NONDENOM,34.20732,-84.140193
511,North Metro Church,Kennesaw, GA,3500,NONDENOM,34.023434,-84.61549
512,Hebron Baptist Church,Dacula, GA,4266,SBC,33.988717,-83.897957
513,Maranatha Adventist Church,Atlanta, GA,2100,SDA,33.748992,-84.390264
514,Burnt Hickory Baptist Church,Powder Springs, GA,2065,SBC,33.859549,-84.683824
515,New Hope Baptist Church,Fayetteville, GA,2200,SBC,33.448726,-84.454926
516,Greater Travelers Rest Baptist Church,Decatur, GA,3000,BAPT,33.773758,-84.296069
517,Destiny Metropolitan Worship Church,Atlanta, GA,3600,NONDENOM,33.748992,-84.390264
518,First Baptist Church Woodstock,Woodstock, GA,6115,SBC,34.101411,-84.519219
519,Cathedral At Chapel Hill,Decatur, GA,2000,NONDENOM,33.773758,-84.296069
520,First Baptist Church,Decatur, GA,2700,SBC,33.773758,-84.296069
521,The Rock Ministries Inc.,Flowery Branch, GA,2000,NONDENOM,34.185102,-83.925181
522,Salem Missionary Baptist Church,Lilburn, GA,1800,BAPT,33.890104,-84.142972
523,Community Bible Church,Stockbridge, GA,3200,NONDENOM,33.544278,-84.233809
524,Southside Baptist Church,Warner Robins, GA,2100,SBC,32.620097,-83.606568
525,Elizabeth Baptist Church,Atlanta, GA,6733,SBC,33.748992,-84.390264
526,Oasis Family Life Church,Dallas, GA,2500,UNK,33.923714,-84.840773
527,Beulah Missionary Baptist Church,Decatur, GA,5000,MISSBAPT,33.773758,-84.296069
528,Ingleside Baptist Church,Macon, GA,2000,BAPT,32.840695,-83.632402
529,Mount Paran Church of God,Atlanta, GA,4000,COG,33.748992,-84.390264
530,Harvest Church,Byron, GA,2109,UMC,32.637154,-83.723399
531,First Assembly of God,Griffin, GA,7780,AG,33.246781,-84.26409
532,New Birth South Metropolitan Church,Jonesboro, GA,10000,UNK,33.521501,-84.353813
533,Beulahland Bible Church,Macon, GA,3500,NONDENOM,32.840695,-83.632402
534,Fellowship Bible Church,Roswell, GA,3500,UNK,34.02332,-84.360022
535,World Changers Church International,College Park, GA,15000,NONDENOM,33.653443,-84.449373
536,Victory for the World,Stone Mountain, GA,2000,NONDENOM,33.808092,-84.170627
537,12Stone Church,Lawrenceville, GA,13563,WES,33.956215,-83.987963
538,Mount Paran Church of God North,Marietta, GA,2000,COG,33.952847,-84.549615
539,Total Grace Christian Center,Decatur, GA,3000,NONDENOM,33.773758,-84.296069
540,Saint Philip AME Church,Atlanta, GA,6000,AME,33.748992,-84.390264
541,Divine Faith Ministries International,Duluth, GA,3300,NONDENOM,34.002857,-84.144105
542,Saint Paul Christian Methodist Episcopal,Savannah, GA,2500,CME,32.080926,-81.091177
543,First Redeemer Church,Cumming, GA,3200,SBC,34.20732,-84.140193
544,Trinity Chapel Church of God,Powder Springs, GA,2100,COG,33.859549,-84.683824
545,Cascade Hills Church,Columbus, GA,4420,SBC,32.461071,-84.988045
546,New Mercies Christian Church,Lilburn, GA,7000,CHRISTIAN,33.890104,-84.142972
547,First Baptist Church Jonesboro,Jonesboro, GA,2000,SBC,33.521501,-84.353813
548,North Point Community Church,Alpharetta, GA,30629,NONDENOM,34.070958,-84.274733
549,West Ridge Church,Dallas, GA,4800,SBC,33.923714,-84.840773
550,Avalon Church,McDonough, GA,1300,SBC,33.447336,-84.146862
551,Blackshear Place Baptist Church,Flowery Branch, GA,2875,SBC,34.185102,-83.925181
552,Word of Faith Family Worship Cathedral,Austell, GA,8300,NONDENOM,33.812606,-84.634378
553,Ray of Hope Christian Church,Decatur, GA,2000,CHRISTIAN,33.773758,-84.296069
554,Free Chapel Worship Center,Gainesville, GA,13568,NONDENOM,34.297879,-83.824066
555,NorthStar Church,Kennesaw, GA,2000,SBC,34.023434,-84.61549
556,Springfield Baptist Church,Conyers, GA,2000,BAPT,33.66761,-84.01769
557,North Metro First Baptist Church,Lawrenceville, GA,2285,BAPT,33.956215,-83.987963
558,Mount Bethel United Methodist Church,Marietta, GA,2950,UMC,33.952847,-84.549615
559,The Church at Chapel Hill,Douglasville, GA,2000,AG,33.751497,-84.747714
560,Victory World Church,Norcross, GA,8000,NONDENOM,33.941213,-84.213531
561,Korean Community Presbyterian Church,Duluth, GA,3000,KPCA,34.002857,-84.144105
562,First Baptist Church Snellville,Snellville, GA,4000,SBC,33.857328,-84.019911
563,Passion City Church,Atlanta, GA,2000,NONDENOM,33.748992,-84.390264
564,Mount Pisgah United Methodist Church,Johns Creek, GA,2211,UMC,34.018156,-84.190196
565,Roswell Street Baptist Church,Marietta, GA,1850,SBC,33.952847,-84.549615
566,Mount Ephraim Baptist Church,Atlanta, GA,5500,BAPT,33.748992,-84.390264
567,West Acres Baptist,Evans, GA,2000,BAPT,33.5338,-82.130589
568,Hopewell Missionary Baptist,Norcross, GA,5000,BAPT,33.941213,-84.213531
569,Gospel Tabernacle East,Stone Mountain, GA,2000,NONDENOM,33.808092,-84.170627
570,Berean Christian Church,Stone Mountain, GA,7000,NONDENOM,33.808092,-84.170627
571,New Birth Missionary Baptist Church,Lithonia, GA,8000,MISSBAPT-NBC,33.712331,-84.105194
572,Grace Fellowship Church,Snellville, GA,4000,NONDENOM,33.857328,-84.019911
573,Eagle's Landing First Baptist Church,Mc Donough, GA,2170,SBC,33.447336,-84.146862
574,Cascade United Methodist Church,Atlanta, GA,1800,UMC,33.748992,-84.390264
575,Vineville Baptist Church,Macon, GA,2000,UNK,32.840695,-83.632402
576,Faith Christian Center,Smyrna, GA,2700,NONDENOM,33.883887,-84.514745
577,Warren Baptist Church,Augusta, GA,1800,BAPT,33.470971,-81.974843
578,Voices of Faith Ministries,Stone Mountain, GA,6900,SBC,33.808092,-84.170627
579,Atlanta Berean Church,Atlanta, GA,2500,SDA,33.748992,-84.390264
580,Rock Bridge Community Church,Dalton, GA,2900,SBC,34.769187,-84.970248
581,Hope Chapel Kapolei,Kapolei, HI,2500,4SQ,21.334008,-158.077849
582,New Hope Leeward,Waipahu, HI,4358,4SQ,21.386667,-158.009166
583,First Assembly of God,Honolulu, HI,2400,AG,21.304547,-157.855676
584,King's Cathedral Maui,Kahului, HI,5409,AG,20.88941,-156.472712
585,Word of Life Christian Center,Honolulu, HI,5000,UNK,21.304547,-157.855676
586,Hope Chapel,Kihei, HI,2000,4SQ,20.747626,-156.45499
587,Calvary Chapel of Honolulu,Aiea, HI,1800,CAL,21.382222,-157.933611
588,New Hope Christian Fellowship,Honolulu, HI,11000,4SQ,21.304547,-157.855676
589,Point of Grace Church,Waukee, IA,2200,NONDENOM,41.611849,-93.884513
590,Prairie Lakes Church,Cedar Falls, IA,2200,BAPT,42.527412,-92.445318
591,First Assembly Cedar Rapids,Cedar Rapids, IA,2100,AG,41.975887,-91.670405
592,Cornerstone Church,Ames, IA,2200,SBC,42.026757,-93.617045
593,Harvest Bible Chapel,Davenport, IA,2100,CHRISTIAN,41.523644,-90.577637
594,Third Reformed Church,Pella, IA,2000,RCA,41.408053,-92.916309
595,Orchard Hill Church,Cedar Falls, IA,2000,RCA,42.527412,-92.445318
596,Valley Church,West Des Moines, IA,2000,EF,41.564534,-93.759528
597,Faith Evangelical Free Church,Spirit Lake, IA,2500,EF,43.422184,-95.102217
598,Lutheran Church of Hope,West Des Moines, IA,10578,ELCA,41.564534,-93.759528
599,Eagle Christian Church,Eagle, ID,2364,CHRISTIAN,43.695442,-116.354014
600,Real Life Ministries,Post Falls, ID,7001,CHRISTIAN,47.711011,-116.948088
601,Capital Christian Center,Meridian, ID,3000,NONDENOM,43.60863,-116.392326
602,Calvary Chapel Boise,Boise, ID,6000,CAL,43.616616,-116.200886
603,Vineyard Boise,Boise, ID,2200,VINE,43.616616,-116.200886
604,Lake City Community Church,Coeur D Alene, ID,1925,AG,47.54112,-116.2343
605,New Faith Baptist Church International,Matteson, IL,4900,SBC,41.509832,-87.739267
606,Northwoods Community Church,Peoria, IL,3800,MEN,40.693861,-89.589101
607,Calvary Temple,Springfield, IL,2500,AG,39.799018,-89.643958
608,Christ Church of Oak Brook,Oak Brook, IL,2600,NONDENOM,41.832809,-87.92895
609,New Life Community Church,Chicago, IL,3900,UNK,41.875562,-87.624421
610,Lighthouse Church of All Nations,Alsip, IL,2000,UNK,41.668922,-87.738662
611,Eastview Christian Church,Normal, IL,4730,CHRISTIAN,40.509287,-88.98438
612,Willow Creek Community Church,South Barrington, IL,25743,NONDENOM,42.087726,-88.150813
613,Life Changers International Church,Hoffman Estates, IL,3000,NONDENOM,42.042726,-88.079278
614,The Chapel,Libertyville, IL,6010,NONDENOM,42.283079,-87.95313
615,Rockford First,Rockford, IL,3184,AG,42.271395,-89.093966
616,Village Church of Gurnee,Gurnee, IL,2000,UNK,42.3703,-87.902019
617,Central Christian Church,Mt Vernon, IL,1833,CHRISTIAN,38.317272,-88.90312
618,Victory Cathedral Worship Center,Bolingbrook, IL,4000,UNK,41.70033,-88.071771
619,Crossroads Community Church,Freeport, IL,2953,AG,42.296686,-89.621227
620,Heartland Community Church,Rockford, IL,7274,UNK,42.271395,-89.093966
621,Fellowship Missionary Baptist Church,Chicago, IL,3100,BAPT,41.875562,-87.624421
622,Highland Avenue Church of the Brethren,Elgin, IL,2500,BRETHREN,42.03726,-88.281099
623,Christ Church,Fairview Heights, IL,2100,UMC,38.588939,-89.990382
624,Salem Baptist Church of Chicago,Chicago, IL,9800,UNK,41.875562,-87.624421
625,Apostolic Faith Church,Chicago, IL,2000,PAW,41.875562,-87.624421
626,The Moody Church,Chicago, IL,2400,NONDENOM,41.875562,-87.624421
627,Abundant Faith Christian Center,Springfield, IL,2900,UNK,39.799018,-89.643958
628,Rock Church,Rockford, IL,5000,UNK,42.271395,-89.093966
629,Christ Community Church,Saint Charles, IL,4500,UNK,41.913981,-88.312818
630,Logos Baptist Assembly,Chicago, IL,2200,BAPT,41.875562,-87.624421
631,Evangelical Free Church of Bloomington,Bloomington, IL,2500,EF,40.479783,-88.993915
632,New Life Covenant Oakwood Church,Chicago, IL,3000,UNK,41.875562,-87.624421
633,Family Harvest Church,Tinley Park, IL,2500,NONDENOM,41.573367,-87.784494
634,College Church,Wheaton, IL,2000,NONDENOM,41.864696,-88.110171
635,Park Community Church,Chicago, IL,2500,NONDENOM,41.875562,-87.624421
636,The Orchard Evangelical Free Church,Arlington Heights, IL,2500,EF,42.081156,-87.980216
637,Rock of Ages Baptist Church,Maywood, IL,3000,BAPT,41.878994,-87.843641
638,Gracepointe Church,Naperville, IL,2000,NONDENOM,41.77287,-88.147928
639,Apostolic Church of God,Chicago, IL,10500,PAW,41.875562,-87.624421
640,Community Christian Church,Naperville, IL,5325,CHRISTIAN,41.77287,-88.147928
641,Harvest Bible Chapel,Naperville, IL,2500,NONDENOM,41.77287,-88.147928
642,All Nations Community Church,Homewood, IL,2000,NONDENOM,41.557328,-87.665474
643,Sweet Holy Spirit Full Gospel Baptist Church,Chicago, IL,4000,BAPT,41.875562,-87.624421
644,Iglesia De Dios Pentecostal,Chicago, IL,6000,PENT,41.875562,-87.624421
645,New Life Covenant Ministries,Chicago, IL,12994,AG,41.875562,-87.624421
646,Calvary Church,Naperville, IL,7070,AG,41.77287,-88.147928
647,West Side Christian Church,Springfield, IL,2175,CHRISTIAN,39.799018,-89.643958
648,The Crossing,Quincy, IL,5484,CHRISTIAN,39.935602,-91.409873
649,Wheaton Bible Church,West Chicago, IL,2500,NONDENOM,41.884751,-88.203961
650,The Vineyard Church,Urbana, IL,2800,VINE,40.111717,-88.207301
651,Living Word Christian Center,Forest Park, IL,4500,NONDENOM,41.879476,-87.81367
652,The Compass Church,Naperville, IL,2250,EF,41.77287,-88.147928
653,Harvest Bible Chapel,Rolling Meadows, IL,13916,CHRISTIAN,42.084194,-88.013128
654,Parkview Christian Church,Orland Park, IL,7093,CHRISTIAN,41.630663,-87.853629
655,Heritage Church,Rock Island, IL,2600,WES,41.509477,-90.578748
656,Trinity United Church of Christ,Chicago, IL,7500,UCC,41.875562,-87.624421
657,Chicago Church of Christ,Elmhurst, IL,2500,ICC,41.899475,-87.940342
658,Valley Kingdom Ministries International,South Holland, IL,3400,NONDENOM,41.600868,-87.606989
659,Christ Universal Temple,Chicago, IL,3200,NONDENOM,41.875562,-87.624421
660,Broadview Missionary Baptist Church,Broadview, IL,2500,BAPT,41.86392,-87.853393
661,Crossroads Community Church,Kokomo, IN,2700,UNK,40.486444,-86.133635
662,Memorial Baptist Church,Evansville, IN,2000,BAPT,37.974765,-87.555848
663,East 91st Street Christian Church,Indianapolis, IN,3832,CHRISTIAN,39.768333,-86.15835
664,Madison Park Church of God,Anderson, IN,2000,COG,40.10532,-85.680254
665,Saint Luke's United Methodist Church,Indianapolis, IN,3108,UMC,39.768333,-86.15835
666,Nappanee Missionary Church,Nappanee, IN,3000,UNK,41.442786,-86.00137
667,Bethel Temple Community Church,Evansville, IN,2000,NONDENOM,37.974765,-87.555848
668,Emmanuel Church of Greenwood,Greenwood, IN,2500,BAPT,39.613658,-86.106653
669,Northview Church,Carmel, IN,6595,NONDENOM,39.978802,-86.118926
670,Traders Point Christian Church,Whitestown, IN,4197,CHRISTIAN,39.997263,-86.34583
671,The Chapel,Fort Wayne, IN,2700,NONDENOM,41.07999,-85.138602
672,First Assembly,Fort Wayne, IN,1800,AG,41.07999,-85.138602
673,Calvary Tabernacle,Indianapolis, IN,3000,UPCI,39.768333,-86.15835
674,Northside Christian Church,New Albany, IN,5006,CHRISTIAN,38.285625,-85.824131
675,Mount Pleasant Christian Church,Greenwood, IN,3232,CHRISTIAN,39.613658,-86.106653
676,Warsaw Community Church,Warsaw, IN,3500,BRETHREN,41.238102,-85.853054
677,Faith Church,Dyer, IN,3500,RCA,41.494202,-87.521707
678,First Baptist Church,Hammond, IN,13426,BAPT,41.583366,-87.500043
