,name,size,addr,state,link,lat,lon
41,Church of the Highlands,Mega,4700 Highlands Way Birmingham,AL,http://www.usachurches.org/church/church-of-the-highlands.htm,33.517637,-86.65573
42,Park Avenue Baptist Church,Medium,605 Park Ave Moody,AL,http://www.usachurches.org/church/park-avenue-baptist-church.htm,33.587486,-86.487034
43,Point of Grace Ministries,Large,500 Commons Dr Birmingham,AL,http://www.usachurches.org/church/point-of-grace-ministries.htm,33.43902,-86.834549
44,The House of Judah,Small,2231 Victory Ln Hoover,AL,http://www.usachurches.org/church/the-house-of-judah.htm,33.379705,-86.79503
45,Christ Anglican Church,Small,1953 Old Montgomery Hwy Hoover,AL,http://www.usachurches.org/church/christ-anglican-church.htm,33.356489,-86.807427
46,Bryant Fountain of Love Baptist Church,Medium,2130 31st Ave N Birmingham,AL,http://www.usachurches.org/church/bryant-fountain-of-love-baptist-church.htm,33.550755,-86.825172
47,Emmanuel Temple Holiness Church,Small,1912 15th Ave N Birmingham,AL,http://www.usachurches.org/church/emmanuel-temple-holiness-church.htm,33.530773,-86.818079
48,The Reach Community Church,Small,410 Dobbins Rd Boaz,AL,http://www.usachurches.org/church/the-reach-community-church.htm,34.151221,-86.218158
49,New Life Pentecostal Church,Medium,30 Persimmon Ln Columbiana,AL,http://www.usachurches.org/church/apostolic-truth-center.htm,33.163363,-86.634947
50,Fairview Wesleyan Church,Small,7667 Hargrove Rd E Cottondale,AL,http://www.usachurches.org/church/fairview-wesleyan-church.htm,33.136236,-87.452504
51,Fountain of Faith Missionary Baptist Church,Medium,1308 Dead Lake Rd Creola,AL,http://www.usachurches.org/church/fountain-of-faith-baptist-church.htm,30.907645,-88.004839
52,Koinonia Family Worship Center,Small,9755 U. S. 43Creola,AL,http://www.usachurches.org/church/koinonia-family-worship-center.htm,42.090798,-85.144801
53,Temple Baptist Church,Large,30 County Rd 1184Cullman,AL,http://www.usachurches.org/church/temple-baptist-church-cullman.htm,34.217726,-87.619031
54,Faith Tabernacle,Small,1214 4th St S W Cullman,AL,http://www.usachurches.org/church/faith-tabernacle.htm,34.17042,-86.874257
55,Light of the World Church of God in Christ,Medium,1366 U. S. 84Daleville,AL,http://www.usachurches.org/church/light-of-the-world-church-of-god-in-christ.htm,40.870285,-97.921486
56,Destiny Church,Medium,28186 U S-98 Daphne,AL,http://www.usachurches.org/church/destiny-church-daphne.htm,30.636328,-87.912464
57,City Hope Church,Large,29964 Saint Basil St Daphne,AL,http://www.usachurches.org/church/bay-community-church.htm,30.661034,-87.850209
58,Lifebridge Christian Church,Medium,414 Clark St S W Decatur,AL,http://www.usachurches.org/church/lifebridge-christian-church.htm,34.569342,-86.992674
59,Cave Spring Baptist Church,Medium,187 Cave Spring Rd Decatur,AL,http://www.usachurches.org/church/cave-spring-baptist-church.htm,34.536545,-86.887573
60,Oak Park Church of God,Small,1502 16th Ave S E Decatur,AL,http://www.usachurches.org/church/oakparkchurchofgod.htm,34.582419,-86.967308
