lat,lon
61.13724,-149.83301
61.17388,-149.8965
61.17264,-149.89377
61.21489,-149.89303
61.16658,-149.86491
61.12189,-149.80333
61.201315,-149.8375
61.154195,-149.80493
61.20986,-149.75849
61.20862,-149.82971
61.13093,-149.90414
61.20602,-149.83314
61.21745,-149.79457
61.10789,-149.8189
61.13503,-149.801255
61.208195,-149.90834
61.172395,-149.86258
61.18767,-149.76442
61.14712,-149.89335
61.20892,-149.86432
61.23116,-149.87777
61.17466,-149.89194
61.18041,-149.83246
61.14823,-149.94998
61.20825,-149.88059
61.12329,-149.78659
61.099405,-149.8524
61.192,-149.78125
61.11136,-149.861
61.138945,-149.92983
61.20944,-149.80873
61.1365,-149.94672
61.2057,-149.74998
61.18226,-149.94587
61.17328,-149.83901
61.15901,-149.94126
61.19588,-149.85949
61.21241,-149.90472
61.192815,-149.859855
61.18766,-149.85096
61.18157,-149.84937
61.19501,-149.83369
61.211,-149.88721
61.20015,-149.78477
61.19003,-149.91734
61.21945,-149.86869
61.21235,-149.89437
61.15927,-149.83579
61.21372,-149.89668
61.1442,-149.95127
61.209235,-149.81822
61.20946,-149.76315
61.209885,-149.86647
61.12285,-149.78548
61.20892,-149.86432
61.15287,-149.83324
61.12153,-149.8296
61.1594,-149.8652
61.1993,-149.7773
61.15928,-149.84839
61.20266,-149.73907
61.15225,-149.95027
61.18113,-149.83419
61.20015,-149.78477
61.21788,-149.80601
61.22741,-149.80143
61.19627,-149.91946
61.21704,-149.73566
61.22469,-149.80043
61.18823,-149.90675
61.20986,-149.74927
61.12253,-149.781225
61.22666,-149.81159
61.20524,-149.80725
61.2219,-149.7786
61.18535,-149.9448
61.097495,-149.855965
61.23104,-149.87441
61.08386,-149.81808
61.20067,-149.89872
61.15415,-149.95261
61.18441,-149.74701
61.21255,-149.88574
61.11536,-149.80525
61.20174,-149.86539
61.16589,-149.84253
61.16658,-149.86491
61.11075,-149.85064
61.14991,-149.89506
61.21405,-149.80445
61.14722,-149.95318
61.10877,-149.82793
61.12392,-149.84825
61.19132,-149.83905
61.216313,-149.894852
61.527778,-165.586389
61.38112,-149.53379
61.408735,-149.440265
61.387225,-149.48685
61.412905,-149.4414
61.40584,-149.45294
61.41233,-149.44632
61.40362,-149.47051
61.36878,-149.51152
58.2774,-134.39578
64.88849,-147.76589
64.84928,-147.690905
64.83629,-147.78072
64.835655,-147.78008
64.8724,-147.82233
64.821195,-147.73805
64.836375,-147.769034
64.82595,-147.74371
64.86775,-147.66695
64.836375,-147.769034
64.83945,-147.73878
64.86383,-147.67496
64.8414,-147.728375
64.828775,-147.71228
64.840445,-147.71948
64.84443,-147.729569
64.8261,-147.72303
64.8183,-147.73922
64.85129,-147.71647
64.84524,-147.72168
64.82481,-147.71789
64.84525,-147.69658
64.83388,-147.71515
64.845455,-147.68922
64.82484,-147.731365
64.90612,-147.6541
64.82666,-147.86461
64.84569,-147.73117
64.93048,-147.86215
64.83175,-147.72462
64.82224,-147.735475
64.8372,-147.78558
64.86804,-147.1637
64.85677,-147.80829
64.85081,-147.80185
64.83598,-147.78993
64.82874,-147.78842
64.88706,-147.620065
64.84417,-147.72694
64.82224,-147.735475
64.83793,-147.72282
64.84428,-147.81176
64.87394,-147.82252
64.84378,-147.74543
64.84812,-147.832462
64.909605,-147.62423
64.848205,-147.682195
64.85902,-147.72888
64.825995,-147.72129
64.838605,-147.84495
64.834185,-147.715065
64.82481,-147.71949
64.92239,-147.628385
64.85426,-147.81118
64.87838,-147.817655
64.83081,-147.71393
64.92593,-147.86501
64.83388,-147.71515
64.849355,-147.7101
59.235833,-135.445
59.64321,-151.57198
59.64321,-151.57198
59.65108,-151.51938
59.64959,-151.52205
59.6499,-151.524465
59.71155,-151.33281
59.64454,-151.58249
59.64054,-151.54926
59.64054,-151.54926
59.64942,-151.52645
59.67849,-151.48094
58.386181,-134.644232
58.377205,-134.62529
58.30368,-134.40836
58.3843,-134.63787
58.373445,-134.615545
58.30255,-134.40698
58.28957,-134.42145
58.368975,-134.591695
58.343795,-134.495628
