name;addr
Sierra Vista United Korean Presbyterian Church;Sierra Vista,AZ
Sojourn Church;Scottsdale,AZ
Christ Covenant Church;Langley,BC
Faith Reformed Presbyterian Church;Vancouver,BC
Free Grace Presbyterian Church;Vernon,BC
Grace Vancouver;Vancouver,BC
Lighthouse Presbyterian Church;Victoria,BC
Abundant Community Church;Anaheim,CA
Aliso Creek Church;Aliso Viejo,CA
Antioch Korean Christian Community Church;La Mirada,CA
Arise Presbyterian Church;Vista,CA
Ark Mission Church;Carmichael,CA
Berkeley Grace Presbyterian Church;Berkeley,CA
Burbank Korean Presbyterian Church;Burbank,CA
California Christ Community Church;Stanton,CA
Calvary Presbyterian Church;Glendale,CA
Canyon Creek Presbyterian Church;San Ramon,CA
Chinese Reformed Church of San Diego;Poway,CA
Christ Church Ventura;Ventura,CA
Christ Presbyterian Church;Murrieta,CA
Christ Presbyterian Church;Santa Barbara,CA
Church in the Canyon;Calabasas,CA
City Light Church;Los Angeles,CA
Covenant Presbyterian Church;Paso Robles,CA
CrossPoint Church of Sacramento;Sacramento,CA
Disciple Community Church;Irvine,CA
East Sarang Community Church;Chino,CA
Eden Korean Presbyterian Church;Castro Valley,CA
El Centro Korean Church;El Centro,CA
Foothills Neighborhood Church;Sierra Madre,CA
Gardena Presbyterian Church;Gardena,CA
Gateway Presbyterian Church;San Fernando,CA
Global Mission Church;Diamond Bar,CA
Grace Church of Marin;San Anselmo,CA
Grace Fresno Presbyterian Church;Fresno,CA
Grace Pasadena Church, Inc.;Pasadena,CA
Grace Presbyterian Church;Yorba Linda,CA
Grace Presbyterian Church of Silicon Valley;Palo Alto,CA
Grace Presbyterian Church, Fallbrook;Fallbrook,CA
Grace Sacramento;Sacramento,CA
Grace South Bay;San Jose,CA
Grace Valley Church;Los Altos,CA
Hamonah Presbyterian Church;Pleasant Hill,CA
Hana Presbyterian Church;Gardena,CA
Harbor City Church;San Diego,CA
Harbor Presbyterian Church UTC;San Diego,CA
Holy City Church;Cerritos,CA
Il Shin Presbyterian Church;Buena Park,CA
Indelible Grace Church;Castro Valley,CA
Inland Church PCA;Pomona,CA
Irvine Sarang Community Church;Irvine,CA
iVision Community Church;Downey,CA
Jesus Family Presbyterian Church;Valencia,CA
Jungkm Church;Anaheim,CA
King's Church;Long Beach,CA
Lamp Presbyterian Church of Los Angeles;Gardena,CA
Living Faith Presbyterian Church;Los Angeles,CA
Living Hope Church;Pasadena,CA
Living Stone Community Church;Carmichael,CA
Maranatha Vision Church;Livermore,CA
Mision Vida Nueva;Escondido,CA
Nachimban Church;Brea,CA
New City Fellowship;Elk Grove,CA
New Creation Church;Burbank,CA
New Life Burbank;Burbank,CA
New Life Church of Irvine;Irvine,CA
New Life Mission Church;Fullerton,CA
New Life Mission Church of Fremont;Fremont,CA
New Life Mission Church of Glendale;La Crescenta,CA
New Life Mission Church of Northern California;San Jose,CA
New Life Presbyterian Church;Escondido,CA
New Life Presbyterian Church;La Mesa,CA
New Life Presbyterian Church of La Jolla;La Jolla,CA
New Life Presbyterian Church of Orange County;Fullerton,CA
New Song Church;Corona,CA
New Vision Presbyterian Church;Merced,CA
North City Presbyterian Church;Poway,CA
North Park Presbyterian Church;San Deigo,CA
Open Door Church of Orange County;Placentia,CA
Orange Hill Presbyterian Church;Orange,CA
Pacific Crossroads Church;Los Angeles,CA
Parkside Presbyterian Church;San Diego,CA
Peniel Presbyterian Church;Los Angeles,CA
Providence Presbyterian Church;Palm Desert,CA
Providence Reformed Church of Bakersfield;Bakersfield,CA
Ramona Valley Presbyterian Church;Ramona,CA
Redeemer Presbyterian Church;Camarillo,CA
Redeemer Presbyterian Church;Santa Rosa,CA
Redeemer Presbyterian Church;Los Angeles,CA
Redeemer Presbyterian Church;Newport Beach,CA
Redeemer Presbyterian Church 2nd site;Torrance,CA
Redeemer Presbyterian Church of San Diego;Encinitas,CA
Redeeming Grace Church;Torrance,CA
Redemption Church;San Marcos,CA
Resurrection Oakland Church;Oakland,CA
Resurrection Orange County;Ladera Ranch,CA
Resurrection Presbyterian Church of San Diego;San Diego,CA
Revive Presbyterian Church of Silicon Valley;Sunnyvale,CA
Ridge Presbyterian Church;Chico,CA
Risen Church;Hayward,CA
Sa-Rang Community Church;Anaheim,CA
Salinas Korean Presbyterian Church;Salinas,CA
San Diego New Hope Church;San Diego,CA
Servant Church of San Diego;San Diego,CA
Serving Community Presbyterian Church;Chino Hills,CA
Shalom Church of Southern California;Torrance,CA
Sierra View Presbyterian Church;Fresno,CA
Stockton Bansuk Presbyterian Church;Stockton,CA
The Humbled One Church;Los Alamitos,CA
The Way;South Pasadena,CA
The Way Church;Los Angeles,CA
Trinity Presbyterian Church;San Luis Obispo,CA
Trinity Presbyterian Church of Orange County;Orange,CA
Trinity Presbyterian Church of San Diego;San Diego,CA
Valley Bethel Presbyterian Church;Chatsworth,CA
Valley Presbyterian Church;Los Angeles,CA
Valley Springs Presbyterian Church;Roseville,CA
Victory Presbyterian Church;Los Angeles,CA
Walnut Creek Heavenly Church;Walnut Creek,CA
Cheyenne Mountain Presbyterian Church;Colorado Springs,CO
Cornerstone Presbyterian Church;Castle Rock,CO
Covenant Presbyterian Church;Wheat Ridge,CO
Covenant Reformed Presbyterian Church;Pueblo,CO
Deer Creek Community Church;Littleton,CO
Denver Presbyterian Church;Denver,CO
Disciple Mission Church of Denver;Denver,CO
Elevate Hope Centennial Inc.;Centennial,CO
Forestgate Presbyterian Church;Colorado Springs,CO
Grace and Peace Church;Colorado Springs,CO
Grace and Peace Denver;Blanc Events,CO
Grace Church Presbyterian;Ft. Collins,CO
High Plains Fellowship;Falcon,CO
Living Redeemer Church;Grand Junction,CO
New Life Mission Church of Colorado;Aurora,CO
Providence Presbyterian Church-Durango;Durango,CO
Redeemer Longmont;Longmont,CO
Redeemer Presbyterian Church;Parker,CO
Rocky Mountain Presbyterian Church;Westminster,CO
Saint Patrick;Greeley,CO
Skyview Presbyterian Church;Centennial,CO
Summit Church of Buena Vista;Buena Vista,CO
The Table Church;Lafayette,CO
Trinity Reformed Church;New Castle,CO
Trinity Reformed Presbyterian Church;Montrose,CO
Village Seven Presbyterian Church;Colorado Springs,CO
Waypoint Church;Colorado Springs,CO
Westside Church;Colorado Springs,CO
Christ Community Presbyterian Church;West Hartford,CT
Christ is Life Presbyterian Church;Fairfield,CT
Christ Presbyterian Church;New Haven,CT
Christ Presbyterian Church of Fairfield;Bridgeport,CT
Christ the Shepherd Church;Danbury,CT
Christian Community Church of Danbury;Danbury,CT
Covenant Presbyterian Church;Ledyard,CT
Grace Church of Greenwich;Greenwich,CT
Grace Church Stamford;Stamford,CT
New England Grace Presbyterian Church;West Hartford,CT
Presbyterian Church of Coventry;Coventry,CT
Presbyterian Church of Manchester;Manchester,CT
Grace Presbyterian Church of Washington, DC;Washington,DC
CenterPoint Church ;Smyrna,DE
City Church Wilmington;Wilmington,DE
Crossroads Presbyterian Church;Middletown,DE
Eastgate Presbyterian Church;Millsboro,DE
Evangelical Presbyterian Church;Newark,DE
Faith Presbyterian Church;Wilmington,DE
Good News Church;Hockessin,DE
Gospel Church for all Nations;Wilmington Manor,DE
Grace Church PCA;Dover,DE
Heritage Presbyterian Church;New Castle,DE
The Town (PCA);Middletown,DE
Areumdown Presbyterian Church;Miami,FL
Auburn Road Presbyterian Church;Venice,FL
Bay Presbyterian Church;Bonita Springs,FL
Boynton Beach Community Church;Boynton Beach,FL
CenterPoint Church;Tallahassee,FL
Chattahoochee Presbyterian Church;Chattahoochee,FL
Christ Central Presbyterian Church;Tampa,FL
Christ Church Beaches;Jacksonville Beach,FL
Christ Church East;Jacksonville,FL
Christ Church Intown;Jacksonville,FL
Christ Church Presbyterian;Jacksonville,FL
Christ Community Church;Titusville,FL
Christ Community Church;Gainesville,FL
Christ Community Church PCA Palm Beach;Wellington,FL
Christ Community Presbyterian Church;Clearwater,FL
Christ Community Presbyterian Church;Lakeland,FL
Christ Covenant Church;Southwest Ranches,FL
Christ the King Presbyterian Church;Seminole,FL
Christ the King Presbyterian Church;Vero Beach,FL
Christ the King Presbyterian Church;Port St. Lucie,FL
Christ United Fellowship Orlando;Orlando,FL
