name,addr,city,state,lat,lon
Historic Baptist Church,North Kingstown,RI,02852,41.551428,-71.469388
Adelphi Calvary Baptist Church,Runnells,IA,50237,41.511101,-93.357432
Agape Baptist Church,Stockton,MO,65785,37.698928,-93.796044
Ahava Baptist Church,Plant City,FL,33567,27.955776,-82.142733
Albemarle Baptist Church,Charlottesville,VA,22901,38.057972,-78.49387
Aliquippa Baptist Temple,Aliquippa,PA,15001,40.610239,-80.267726
Fellowship Baptist Church,Baden,PA,15005,40.635067,-80.228116
Altoona Regular Baptist Church,Altoona,IA,50009,41.643731,-93.469603
Amazing Grace Baptist Church,Kansas City,KS,66103,39.051424,-94.624533
Amazing Grace Baptist Church,St Charles,MO,63303,38.759233,-90.535572
Ambassador Baptist Church,Pittsburgh,PA,15209,40.490768,-79.972274
Ambassador Baptist Church,Sparta,WI,54656,43.944133,-90.812912
Andalusia Community Baptist Church,Andalusia,IL,61232,41.439199,-90.717641
Northlight Baptist Church,Pendleton,IN,46064,39.997542,-85.746644
Antioch Baptist Church,Belleville,MI,48111,42.204841,-83.485211
Antioch Baptist Church,Rochester,IN,46975,41.064885,-86.215996
Bible Baptist Church,Fairbanks,AK,99701,64.837845,-147.716675
Averyville Baptist Church,East Peoria,IL,61611,40.666149,-89.580098
Bailey's Grove Baptist Church,Asheboro,NC,27203,35.707915,-79.813645
Baileyville Baptist Church,Baileyville,IL,61007,42.197398,-89.588098
Baptist Temple of Franklin,Franklin,PA,16323,41.397836,-79.831444
Baptist Temple,Grand Prairie,TX,75051,32.719361,-97.00593
Triumph Baptist Church,Fort Worth,TX,76110,32.701708,-97.340012
Bath Baptist Church,Bath,MI,48808,42.818992,-84.448975
Bay View Baptist Church,Washington,IL,61571,40.703399,-89.406511
Beecher Fellowship Baptist Church,Beecher,IL,60401,41.340542,-87.621514
Beeville Baptist Church,Beeville,TX,78102,28.400832,-97.748331
Bella Vista Baptist Church,Albuquerque,NM,87110,35.11087,-106.577848
Berean Baptist Church,Adrian,MI,49221,41.897515,-84.037305
Berean Baptist Church,Beloit,WI,53511,42.508327,-89.031784
Berean Baptist Church,Boone,IA,50036,42.059699,-93.88022
Berean Baptist Church,Livonia,MI,48152,42.426257,-83.358972
Berean Baptist Church,Ocala,FL,34474,29.151808,-82.198303
Berean Baptist Church,Rockford,IL,61101,42.271395,-89.093966
Berean Bible Baptist Church,South Lyon,MI,48178,42.451377,-83.659179
Berkshire Hills Baptist Church,Lee,MA,01238,42.30392,-73.234097
Beth Haven Baptist Church,Sheridan,MI,48884,43.212254,-85.073626
Bethany Baptist Church,Deptford,NJ,08096,39.831291,-75.109944
Bethany Independent Baptist Church,Courtland,MS,38620,34.240944,-89.942868
Bethel Baptist Church,Cary,NC,27511,35.768441,-78.779371
Bethel Baptist Church,Jackson,TN,38305,35.684871,-88.840476
Bethel Baptist Church,Linton,IN,47441,39.034767,-87.165846
Bethel Baptist Church,Manistique,MI,49854,45.95779,-86.246419
Bethel Baptist Church,Pekin,IL,61554,40.568985,-89.650105
Bethel Baptist Church,Philadelphia,PA,19125,39.979076,-75.125912
Bethel Baptist Church,Rockwall,TX,75087,32.931234,-96.459709
Bethel Baptist Church,Schaumburg,IL,60194,42.03,-88.11
Bethel Baptist Church,Spanaway,WA,98387,47.097946,-122.424342
Bethel Baptist Church,Walls,MS,38680,34.957873,-90.151761
Hampton Road Baptist Church,Fairmont,WV,26554,39.485085,-80.142578
Bible Baptist Church,Beaver Dam,KY,42320,37.401992,-86.875826
Bible Baptist Church,Belvidere,IL,61008,42.257999,-88.841734
Bible Baptist Church,,NC,28425,34.552111,-77.926098
Bible Baptist Church,Byesville,OH,43723,39.969794,-81.536511
Bible Baptist Church,Carnegie,PA,15106,40.40868,-80.083389
Bible Baptist Church,Cedar Rapids,IA,52402,42.017451,-91.652551
Bible Baptist Church,Central Lake,MI,49622,45.070162,-85.264157
Kalamazoo Baptist Church,Kalamazoo,MI,49006,42.286936,-85.621978
Bible Baptist Church,Charlevoix,MI,49720,45.317649,-85.258348
Bible Baptist Church,Clarksville,TN,37043,36.524488,-87.286853
Bible Baptist Church,Clementon,NJ,08021,39.811503,-74.982944
Bible Baptist Church,Conway,AR,72034,35.088696,-92.442101
Bible Baptist Church,Dubuque,IA,52001,42.500622,-90.664797
Bible Baptist Church,El Dorado,AR,71730,33.20763,-92.666267
Bible Baptist Church,Fort Wayne,IN,46806,41.048961,-85.11956
Bible Baptist Church,Glenwood,IA,51534,41.046944,-95.742506
Bible Baptist Church,Hazard,KY,41702,37.24942,-83.193338
Bible Baptist Church,Highland,IN,46322,41.553653,-87.452048
Bible Baptist Church,Jacksonville,AR,72076,34.866201,-92.110146
Bible Baptist Church,Jacksonville,FL,32208,30.393253,-81.687392
Bible Baptist Church,Jefferson City,MO,65109,38.577169,-92.238879
Bible Baptist Church,Kahoka,MO,63445,40.420318,-91.719609
Bible Baptist Church,Latrobe,PA,15650,40.317287,-79.38403
Bible Baptist Church,Marysville,CA,95901,39.145725,-121.591352
Bible Baptist Church,Mattoon,IL,61938,39.484282,-88.377328
Bible Baptist Church,Mercer,PA,16137,41.227003,-80.239785
Bible Baptist Church,New Franklin,MO,65274,39.017251,-92.737408
Bible Baptist Church,Ottumwa,IA,52501,41.020015,-92.411296
Bible Baptist Church,Owosso,MI,48867,42.997597,-84.172054
Bible Baptist Church,Pampa,TX,79065,35.536297,-100.960155
Bible Baptist Church,Pensacola,FL,32514,30.520392,-87.212534
Bible Baptist Church,Portage,IN,46368,41.575871,-87.176146
Bible Baptist Church,Prairie du Chien,WI,53821,43.05194,-91.140993
Bible Baptist Church,Radcliff,KY,40160,37.840346,-85.94913
Bible Baptist Church,Terre Haute,IN,47802,39.431326,-87.41492
Bible Baptist Church,Uniontown,PA,15401,39.900076,-79.716433
Bible Baptist Church,York,PA,17404,39.96,-76.75
Bible Baptist Church of Rendon,Fort Worth,TX,76140,32.633276,-97.288537
Riverside Baptist Church,Saint Joseph,MO,64507,39.76,-94.79
Bible Believers Baptist Church,Billings,MT,59105,45.803309,-108.530808
Bible Believers Baptist Church,,ID,83254,42.32215,-111.297704
Bible Way Baptist Church,Milton,FL,32572,30.620413,-87.056542
Biblical Baptist Church,Beach Park,IL,60087,42.396911,-87.852525
Big Sky Baptist Church,Hamilton,MT,59840,46.248886,-114.154332
Birch Street Baptist Church,Eau Claire,WI,54703,44.820299,-91.505362
Black River Baptist Church,Black River Falls,WI,54615,44.295215,-90.848414
Blackford Baptist Temple,Hartford City,IN,47348,40.451154,-85.369972
Blair Ridge Baptist Church,Cedar Rapids,IA,52411,42.031189,-91.716402
Blessed Hope Baptist Church,Farmington,MO,63640,37.780304,-90.422637
Blessed Hope Baptist Church,Jasonville,IN,47438,39.163098,-87.199181
