name,city,state,attend,denom,lat,lon
Calvary Chapel South Bay,Gardena, CA,9200,CAL,33.896359,-118.305304
CrossPoint Community Church,Modesto, CA,2000,BAPT,37.639097,-120.996878
Sarang Community Church,Anaheim, CA,8000,PCA,33.834752,-117.911732
Calvary Murietta,Murietta, CA,2000,CAL,34.649051,-119.385325
Paradise Alliance Church,Paradise, CA,2100,CMA,47.525593,-52.872414
Seacoast Grace Church,Cypress, CA,3290,NONDENOM,33.824824,-118.039937
Rolling Hills Christian Church,El Dorado Hills, CA,2103,CHRISTIAN,38.656119,-121.074327
Abundant Life Christian Fellowship,Mountain View, CA,4500,COGA,37.389389,-122.08321
All Nations Church,Lakeview Terrace, CA,2000,UNK,40.80978,-81.418727
Healing Word,Tustin, CA,3500,NONDENOM,33.745851,-117.826166
Morningstar Christian Chapel,Whittier, CA,3000,NONDENOM,33.970878,-118.03084
Glide Memorial United Methodist Church,San Francisco, CA,3000,UMC,39.465862,-6.366583
Calvary Community Church,Westlake Village, CA,3200,CAL,34.146023,-118.806179
Calvary Bible Fellowship,Temecula, CA,2500,NONDENOM,33.494635,-117.147366
Hope Point,Yuba City, CA,2270,NAZ,39.140448,-121.616911
Journey Community Church,La Mesa, CA,2300,NONDENOM,32.767829,-117.023084
Venture Christian Church,Los Gatos, CA,3600,NONDENOM,37.226611,-121.97468
Oriental Mission Church,Los Angeles, CA,3800,CHRISTIAN,34.053691,-118.242766
Menlo Park Presbyterian Church,Menlo Park, CA,3737,ECO,37.451967,-122.177993
Parkcrest Christian Church,Long Beach, CA,2500,NONDENOM,33.769016,-118.191604
Torrance First Presbyterian Church,Torrance, CA,2800,PRES,33.835849,-118.340629
The Crossing,Costa Mesa, CA,2000,NONDENOM,33.663339,-117.903317
Lifeway Church Ministries,Rancho Cucamonga, CA,2000,UNK,34.103319,-117.575174
Twin Cities Community Church,Grass Valley, CA,2100,SBC,39.219061,-121.06292
Hillside Community Church,Alta Loma, CA,2000,ABC,34.122887,-117.598578
Bethel Church,Irvine, CA,4300,SBC,33.685697,-117.825982
Warehouse Ministry,Sacramento, CA,4000,NONDENOM,38.581061,-121.493895
Cornerstone Fellowship,Livermore, CA,5000,NONDENOM,37.682058,-121.768053
Calvary Chapel Montebello,Montebello, CA,2500,CAL,34.01594,-118.111975
Inland Hills Church,Chino, CA,3001,AG,34.013356,-117.690075
Flood Church,San Diego, CA,2200,UNK,32.71742,-117.162773
New Hope Missionary Baptist Church,San Bernardino, CA,3400,BGC,34.108345,-117.289765
Grace Baptist Church,Santa Clarita, CA,2300,BGC,34.451964,-118.515489
Ministerios Llamada Final,Downey, CA,3500,NONDENOM,33.942215,-118.123565
Desert Vineyard Christian Fellowship,Lancaster, CA,5000,VINE,34.698106,-118.136615
Peoples Church,Fresno, CA,4500,NONDENOM,36.739442,-119.784831
Faith Community Church,West Covina, CA,10000,UNK,34.068621,-117.938953
Bayview Baptist Church,San Diego, CA,1800,BAPT,32.71742,-117.162773
Santa Cruz Bible Church,Santa Cruz, CA,2000,NONDENOM,36.974363,-122.029467
Rolling Hills Covenant Church,Rolling Hills Estates, CA,3000,EC,33.787794,-118.358128
Calvary Chapel of Oceanside,Oceanside, CA,2500,CAL,33.19587,-117.379483
Grace Brethren Church,Long Beach, CA,2000,BRETHREN,33.769016,-118.191604
Capital Christian Center,Sacramento, CA,4150,AG,38.581061,-121.493895
First Covenant Church,Sacramento, CA,2000,UNK,38.581061,-121.493895
Campus Hill Church,Loma Linda, CA,2000,SDA,34.053797,-117.261093
Calvary Temple,Concord, CA,2150,AG,37.976853,-122.033562
Big Valley Grace Community Church,Modesto, CA,3800,NONDENOM,37.639097,-120.996878
Journey of Faith,Manhattan Beach, CA,2000,CBA,33.891599,-118.395124
First Baptist Church of Elk Grove,Elk Grove, CA,3300,ABC,38.408799,-121.371618
Skyline Wesleyan Church,La Mesa, CA,2500,WES,32.767829,-117.023084
First Chinese Baptist Church,Los Angeles, CA,2200,BAPT,34.053691,-118.242766
La Iglesia en el Camino,Van Nuys, CA,5000,4SQ,34.186619,-118.448668
Calvary Chapel Rancho Santa Margarita,Rancho Santa Margarita, CA,2000,CAL,33.640885,-117.602934
Saint Andrew's Presbyterian Church,Newport Beach, CA,1833,PCUSA,33.617009,-117.92944
Christian Assembly Foursquare Church,Eagle Rock, CA,2600,4SQ,34.136688,-118.20768
Pomona First Baptist Church,Pomona, CA,4000,ABC,34.055381,-117.75175
North Valley Baptist Church,Santa Clara, CA,3000,NONDENOM,39.471529,-6.372104
Christian Worship Center,Manteca, CA,2000,AG,37.798618,-121.211715
Shepherd of the Hills Church,Porter Ranch, CA,8675,CHRISTIAN,34.281816,-118.561271
Revival Center Modesto,Modesto, CA,3000,NONDENOM,37.639097,-120.996878
EastLake Church,Chula Vista, CA,6280,NONDENOM,32.640054,-117.084196
North Coast Calvary Chapel,Carlsbad, CA,6000,CAL,33.158093,-117.350597
Horizon Christian Fellowship North County,Rancho Santa Fe, CA,4000,NONDENOM,33.020321,-117.202813
Calvary Chapel La Habra,La Habra, CA,2100,CAL,33.931607,-117.945487
Bay Area Christian Church,Palo Alto, CA,3500,NONDENOM,37.444329,-122.159847
Grace Korean Church,Fullerton, CA,4000,UNK,44.756165,-93.63574
Cornerstone Community Church,Simi Valley, CA,5000,NONDENOM,34.26774,-118.753807
Bethel Church,Redding, CA,3500,UNK,40.586356,-122.391675
The Grove Community Church,Riverside, CA,4500,NONDENOM,51.4791289,-3.1921926
Trinity Evangelical Free Church,Redlands, CA,2800,EF,34.055033,-117.182745
Cathedral of Faith,San Jose, CA,7800,NONDENOM,37.336191,-121.890583
Cross Word Christian Church,Riverside, CA,2000,NONDENOM,51.4791289,-3.1921926
Loma Linda University Church,Loma Linda, CA,3800,SDA,34.053797,-117.261093
Calvary Chapel,Downey, CA,9000,CAL,33.942215,-118.123565
Iglesia Cristiana Rios De Agua Viva,Pomona, CA,2500,PENT,34.055381,-117.75175
West Angeles Church of God in Christ,Los Angeles, CA,13000,COGIC,34.053691,-118.242766
Acts Full Gospel Church of God In Christ,Oakland, CA,6000,COGIC,37.804456,-122.271356
Bonita Valley Community Church,Bonita, CA,2100,AG,32.657832,-117.030027
Immanuel Baptist Church,Highland, CA,3000,BAPT,34.11213,-117.180797
New Venture Christian Fellowship,Oceanside, CA,2001,UNK,33.19587,-117.379483
Arcade Baptist Church,Sacramento, CA,2000,CBA,38.581061,-121.493895
Calvary Chapel of Costa Mesa,Santa Ana, CA,9500,CAL,33.749495,-117.873221
Mission Eben Ezer Family Church,Carson, CA,2750,AG,33.832204,-118.251755
Crossroads Community Church,Vallejo, CA,2100,4SQ,38.104086,-122.256637
The Church on the Way,Van Nuys, CA,9032,4SQ,34.186619,-118.448668
New Birth Church,Pittsburg, CA,2000,UNK,38.018175,-121.890123
Valley Bible Fellowship,Bakersfield, CA,10300,UNK,35.373871,-119.019464
Coast Hills Community Church,Aliso Viejo, CA,4000,NONDENOM,33.576138,-117.725812
Visalia First Assembly of God,Visalia, CA,3247,AG,36.330228,-119.292059
Neighborhood Church of Redding,Redding, CA,2500,CMA,40.586356,-122.391675
Crossroads Christian Church,Corona, CA,8375,CHRISTIAN,-25.460371,-55.990196
Victorville First Assembly,Victorville, CA,1907,AG,34.536107,-117.291157
Knott Avenue Christian Church,Anaheim, CA,2208,CHRISTIAN,33.834752,-117.911732
Faithful Central Bible Church,Inglewood, CA,8000,UNK,33.9562,-118.353132
Cornerstone Church,Fresno, CA,3000,AG,36.739442,-119.784831
Bethel Church of San Jose,San Jose, CA,2200,AG,37.336191,-121.890583
Lancaster Baptist Church,Lancaster, CA,6000,BAPT,34.698106,-118.136615
Sonrise Community Baptist Church,Santee, CA,2800,BAPT,32.838383,-116.973917
Iglesia De Restauracion Inc.,Los Angeles, CA,4000,EVAN,34.053691,-118.242766
Covina Assembly of God,Covina, CA,2000,AG,34.087793,-117.889116
High Desert Church,Victorville, CA,6313,NONDENOM,34.536107,-117.291157
New Life Church,Alamo, CA,2150,AG,37.850203,-122.032184
Calvary Chapel Golden Springs,Diamond Bar, CA,12000,CAL,34.028623,-117.810337
Southwest Community Church,Indian Wells, CA,4500,EF,33.721797,-116.338303
Shoreline Community Church,Monterey, CA,3500,NONDENOM,36.600256,-121.894639
First Church of the Nazarene,Pasadena, CA,2184,NAZ,39.459118,-6.379508
Calvary Church of Santa Ana,Santa Ana, CA,3100,NONDENOM,33.749495,-117.873221
Iglesia Ni Cristo,Los Angeles, CA,2000,COC,34.053691,-118.242766
New Life Community Church,Pismo Beach, CA,2367,NAZ,35.142753,-120.641283
Foothills Christian Fellowship,El Cajon, CA,2500,NONDENOM,32.794773,-116.962527
Lakeside Church,Folsom, CA,3000,UNK,38.677959,-121.176058
Cottonwood Christian Center,Los Alamitos, CA,7000,NONDENOM,33.803887,-118.077243
Water of Life Community Church,Fontana, CA,6371,NONDENOM,34.092234,-117.435048
Twin Lakes Baptist Church,Aptos, CA,3500,SBC,36.978773,-121.897634
Real Life Church,Valencia, CA,5105,NONDENOM,10.1667,-67.9833
Life Church,Irving, CA,2100,NONDENOM,44.83645,-68.741651
Yorba Linda Friends Church,Yorba Linda, CA,5000,QUAKER,33.89011,-117.824971
The Well Community Church,Fresno, CA,3800,NONDENOM,36.739442,-119.784831
Mount Calvary Baptist Church,Fairfield, CA,3800,SBC,38.249358,-122.039966
First African Methodist Episcopal Church,Los Angeles, CA,10000,AME,34.053691,-118.242766
Calvary Temple Worship Center,Modesto, CA,11778,AG,37.639097,-120.996878
Central Christian Church,Lancaster, CA,2200,NONDENOM,34.698106,-118.136615
New Covenant Community Church,Fresno, CA,1900,BGC,36.739442,-119.784831
Sunrise Church,Rialto, CA,5000,CBA,34.1064,-117.370324
Bayside of South Sacramento,Sacramento, CA,2500,EC,38.581061,-121.493895
Harvest Christian Fellowship,Riverside, CA,12300,NONDENOM,51.4791289,-3.1921926
Sandals Church,Riverside, CA,3000,NONDENOM,51.4791289,-3.1921926
Northside Christian Church,Clovis, CA,2600,CHRISTIAN,36.825228,-119.702919
First Evangelical Free Church of Fullerton,Fullerton, CA,4500,EF,44.756165,-93.63574
South Hills Church,Corona, CA,2500,NONDENOM,-25.460371,-55.990196
Church of the Harvest,Los Angeles, CA,2000,EVAN,34.053691,-118.242766
The Packinghouse Church,Redlands, CA,3800,NONDENOM,34.055033,-117.182745
Calvary Christian Center,Sacramento, CA,5500,NONDENOM,38.581061,-121.493895
CompassChurch,Salinas, CA,2400,ECO,36.674412,-121.655037
Emmanuel Faith Community Church,Escondido, CA,6500,NONDENOM,33.121675,-117.081485
Jubilee Christian Center,San Jose, CA,14000,UNK,37.336191,-121.890583
The Rock Church,San Diego, CA,12864,NONDENOM,32.71742,-117.162773
The Dream Center / Angelus Temple,Los Angeles, CA,8975,4SQ,34.053691,-118.242766
Orange Hills Assembly of God,Orange Hills, CA,2000,AG,45.3653,-65.5345
River of Life Christian Church,Santa Clara, CA,2950,NONDENOM,39.471529,-6.372104
Calvary Chapel Modesto,Modesto, CA,4000,CAL,37.639097,-120.996878
Lake Avenue Church,Pasadena, CA,5000,UNK,39.459118,-6.379508
Horizon Christian Fellowship,San Diego, CA,7000,NONDENOM,32.71742,-117.162773
The Church at Rocky Peak,Chatsworth, CA,2000,NONDENOM,34.259572,-118.602325
New Vision Church,Milpitas, CA,2300,SBC,37.428272,-121.906624
Greater Saint Paul Baptist Church,Oakland, CA,5300,NBC,37.804456,-122.271356
New Harvest Christian Fellowship,Norwalk, CA,2000,UNK,33.90928,-118.084917
Valley Baptist Church,Bakersfield, CA,3266,SBC,35.373871,-119.019464
Calvary Chapel Chino Valley,Chino, CA,8300,CAL,34.013356,-117.690075
Desert Chapel,Palm Springs, CA,3500,NONDENOM,33.824627,-116.540303
Adventure Christian Church,Roseville, CA,3659,CHRISTIAN,38.752124,-121.288006
City of Refuge Church,Gardena, CA,10000,UNK,33.896359,-118.305304
RockHarbor Church,Costa Mesa, CA,5000,NONDENOM,33.663339,-117.903317
Calvary Chapel Westgrove,Garden Grove, CA,1800,CAL,33.774629,-117.946372
Bethany Slavic Missionary Church,Sacramento, CA,5700,NONDENOM,38.581061,-121.493895
Capo Beach Calvary,Capistrano Beach, CA,2200,NONDENOM,33.455148,-117.66808
Brookins Community AME Church,Los Angeles, CA,2000,AME,34.053691,-118.242766
Revival Christian Fellowship,Menifee, CA,6000,NONDENOM,33.686443,-117.177044
Christ's Church of the Valley,San Dimas, CA,4825,CHRISTIAN,34.106676,-117.806726
Grace Community Church,Sun Valley, CA,8000,NONDENOM,34.217504,-118.370358
Shadow Mountain Community Church,El Cajon, CA,7513,SBC,32.794773,-116.962527
Victory Outreach Church San Diego,San Diego, CA,1800,UNK,32.71742,-117.162773
Saint John's Lutheran Church,Orange, CA,2000,LUTH,33.787257,-117.850309
First Christian Church,Huntington Beach, CA,2860,CHRISTIAN,33.678334,-118.000017
Cornerstone Community Church,Wildomar, CA,3200,NONDENOM,33.593937,-117.241499
Riverlakes Community Church,Bakersfield, CA,2000,UNK,35.373871,-119.019464
Northwest Church,Fresno, CA,1800,BGC,36.739442,-119.784831
Thanksgiving Church,Buena Park, CA,1900,AG,33.870413,-117.996217
North Coast Church,Vista, CA,8906,EF,33.200037,-117.242536
The Rock,Anaheim, CA,3000,4SQ,33.834752,-117.911732
Oasis Church,Valley Village, CA,2000,UNK,34.163715,-118.396576
Life Church of God In Christ,Riverside, CA,4500,COGIC,51.4791289,-3.1921926
Newbreak,San Diego, CA,2171,AG,32.71742,-117.162773
Destiny Church,Indio, CA,2593,NONDENOM,33.719281,-116.218805
Little Country Church,Redding, CA,3800,NONDENOM,40.586356,-122.391675
Atascadero Bible Church,Atascadero, CA,3000,NONDENOM,35.489417,-120.670726
Calvary Bible Church,Burbank, CA,2600,NONDENOM,34.181648,-118.325855
Bright Russian Baptist Church,West Sacramento, CA,2500,BAPT,38.580461,-121.530234
Crossroads Grace Community Church,Manteca, CA,1800,NONDENOM,37.798618,-121.211715
The Father's House,Vacaville, CA,3000,UNK,38.356577,-121.987744
New Life Center,Bakersfield, CA,2000,4SQ,35.373871,-119.019464
Maranatha Chapel,San Diego, CA,6000,NONDENOM,32.71742,-117.162773
The Bridge,Fresno, CA,2000,EF,36.739442,-119.784831
Calvary Chapel of Vista,Vista, CA,3000,CAL,33.200037,-117.242536
Jubilee Fellowship Church,Lone Tree, CO,2500,NONDENOM,39.5361,-104.896368
Crossroads Church of Denver,Wheat Ridge, CO,4500,UNK,39.766098,-105.077206
Colorado Community Church Aurora,Aurora, CO,2500,NONDENOM,39.740511,-104.830995
Foothills Bible Church,Littleton, CO,2000,NONDENOM,39.613321,-105.01665
Crossroads Church,Loveland, CO,2000,UNK,40.397761,-105.07498
Northern Hills Christian Church,Brighton, CO,2000,NONDENOM,39.978887,-104.817494
Canyon View Vineyard Church,Grand Junction, CO,4500,VINE,39.063956,-108.550732
First Presbyterian Church,Colorado Springs, CO,2495,PCUSA,38.833958,-104.825349
Potter's House Church of Denver,Denver, CO,7800,NONDENOM,39.739236,-104.984862
Southeast Christian Church,Parker, CO,3554,CHRISTIAN,39.518451,-104.761264
Timberline Church,Fort Collins, CO,6022,AG,40.550853,-105.066809
Mountain Springs Church,Colorado Springs, CO,3500,NONDENOM,38.833958,-104.825349
Faith Evangelical Free Church,Fort Collins, CO,2000,EF,40.550853,-105.066809
New Life Church,Colorado Springs, CO,12000,UNK,38.833958,-104.825349
Calvary Worship Center,Colorado Springs, CO,2000,NONDENOM,38.833958,-104.825349
Greenwood Community Church,Greenwood Village, CO,2200,EPC,39.61721,-104.950814
LifeBridge Christian Church,Longmont, CO,3121,CHRISTIAN,38.22913,-77.6071
Church For All Nations,Colorado Springs, CO,2000,UNK,38.833958,-104.825349
Christ Community Church,Greeley, CO,2000,EF,40.423314,-104.709132
Colorado Community Church Englewood,Englewood, CO,4500,NONDENOM,39.648206,-104.987964
Vineyard Church of the Rockies,Fort Collins, CO,2500,VINE,40.550853,-105.066809
Resurrection Fellowship,Loveland, CO,2500,NONDENOM,40.397761,-105.07498
Rocky Mountain Calvary Chapel,Colorado Springs, CO,3500,CAL,38.833958,-104.825349
Faith Bible Chapel,Arvada, CO,5000,NONDENOM,39.800551,-105.081157
Mission Hills Church,Littleton, CO,3600,BGC,39.613321,-105.01665
Cherry Hills Community Church,Highlands Ranch, CO,6250,EPC,39.549724,-104.969566
Eastern Hills Community Church,Centennial, CO,2000,CRC,39.579155,-104.876923
Rocky Mountain Christian Church,Niwot, CO,2202,CHRISTIAN,40.103874,-105.170819
Word of Life Christian Center,Lone Tree, CO,2000,NONDENOM,39.5361,-104.896368
Flatirons Community Church,Lafayette, CO,15495,EVAN,39.993596,-105.089706
Woodmen Valley Chapel,Colorado Springs, CO,5500,NONDENOM,38.833958,-104.825349
Red Rocks Church,Golden, CO,3200,AG,39.755543,-105.221099
First Cathedral,Bloomfield, CT,3500,BAPT,41.826488,-72.730095
Valley Community Baptist Church,Avon, CT,2000,BGC,41.809821,-72.830654
Faith Church,New Milford, CT,2000,NONDENOM,41.577099,-73.41058
New Beginnings Community Church,Darien, CT,2000,NONDENOM,41.078708,-73.469287
Black Rock Congregational Church,Fairfield, CT,2000,NONDENOM,41.141208,-73.263726
Kingdom Life Christian Church,Milford, CT,2500,NONDENOM,41.222222,-73.05706
Crossroads Community Cathedral,E. Hartford, CT,2000,AG,41.782322,-72.612035
Walnut Hill Community Church,Bethel, CT,2500,EVAN,41.371206,-73.41401
Saint Columba's Episcopal Church,Washington, DC,1800,EPIS,38.895037,-77.036543
Rhema Christian Center Church,Washington, DC,2000,NONDENOM,38.895037,-77.036543
International Ethiopian Evangelical Church,Washington, DC,1800,AG,38.895037,-77.036543
Temple of Praise,Washington, DC,4000,NONDENOM,38.895037,-77.036543
Shiloh Baptist Church,Washington, DC,2000,BAPT,38.895037,-77.036543
Greater Mt. Calvary Holy Church,Washington, DC,3500,PENT,38.895037,-77.036543
Bible Way Temple,Washington, DC,3500,UNK,38.895037,-77.036543
Northstar Church,Panama City, FL,2000,NONDENOM,30.160083,-85.654573
Sweet Home Missionary Baptist,Miami, FL,2000,MISSBAPT,25.764993375,-80.1852740625
First Baptist Church,Panama City, FL,2000,SBC,30.160083,-85.654573
McGregor Baptist Church,Fort Myers, FL,3453,SBC,26.640628,-81.872308
Church in the Son,Orlando, FL,2200,NONDENOM,28.542111,-81.37903
Faith Assembly of God,Orlando, FL,4000,AG,28.542111,-81.37903
Church of Hope,Sarasota, FL,2237,AG,27.336581,-82.530855
Christ's Church,Jacksonville, FL,4904,CHRISTIAN,30.332184,-81.655651
Christian Life Center,Fort Lauderdale, FL,3500,AG,26.122308,-80.143379
Olive Baptist Church,Pensacola, FL,3137,SBC,30.421309,-87.216915
New Life Christian Fellowship,Jacksonville, FL,2000,NONDENOM,30.332184,-81.655651
Christ Church United Methodist Church,Fort Lauderdale, FL,1800,UMC,26.122308,-80.143379
Calvary Chapel of Melbourne,West Melbourne, FL,10000,CAL,28.042227,-80.664094
Without Walls International Church,Tampa, FL,3000,UNK,27.94776,-82.458444
Countryside Christian Center,Clearwater, FL,2000,NONDENOM,27.965853,-82.800103
Summit Church,Orlando, FL,4300,NONDENOM,28.542111,-81.37903
Campus Church,Pensacola, FL,7000,CHRISTIAN,30.421309,-87.216915
Grace Fellowship,West Palm Beach, FL,4000,UNK,26.715364,-80.053294
First Baptist Church,Plant City, FL,3000,SBC,28.01633,-82.12348
Mount Olive Baptist Church,Fort Lauderdale, FL,3000,BAPT,26.122308,-80.143379
Ministerio Internacional El Rey Jesus,Miami, FL,5500,NONDENOM,25.764993375,-80.1852740625
Generations Christian Church,Trinity, FL,2252,CHRISTIAN,28.180164,-82.654212
Grace Family Church,Lutz, FL,6187,UNK,28.151124,-82.461483
Family Worship Center,Lakeland, FL,2600,PENT,28.039465,-81.949804
Calvary Chapel Fort Lauderdale,Fort Lauderdale, FL,18521,CAL,26.122308,-80.143379
Anastasia Baptist Church,Saint Augustine, FL,1510,SBC,29.894695,-81.31454
Bethel Missionary Baptist Church,Tallahassee, FL,6000,MISSBAPT,30.438083,-84.280933
Potential Church,Cooper City, FL,12103,SBC,26.057783,-80.269511
City of Life Church,Kissimmee, FL,2000,NONDENOM,28.2919,-81.407584
Christ Fellowship,Palm Beach Gardens, FL,18965,NONDENOM,26.823395,-80.138655
The Family Church,Gainesville, FL,2000,NONDENOM,29.651968,-82.324985
The Faith Center Ministries,Sunrise, FL,8000,NONDENOM,26.166689,-80.278757
Winners Church,West Palm Beach, FL,2000,IPHC,26.715364,-80.053294
Woodland - The Community Church,Bradenton, FL,2001,UNK,27.498928,-82.574819
Calvary Chapel of Saint Petersburg,Pinellas Park, FL,3500,CAL,27.842803,-82.699544
Primeira Igreja Batista Brasileira,Pompano Beach, FL,2000,BAPT,26.23786,-80.124767
Mount Bethel Baptist Church,Fort Lauderdale, FL,2000,BAPT,26.122308,-80.143379
New Covenant Baptist Church,Orlando, FL,2200,BAPT,28.542111,-81.37903
First Baptist Church of Indian Rocks,Largo, FL,2908,SBC,27.909467,-82.787324
First Baptist Church,Jacksonville, FL,4300,SBC,30.332184,-81.655651
Christ Life Center,Miami, FL,4000,RCA,25.764993375,-80.1852740625
Village View Community Church,Summerfield, FL,2500,COG,29.008592,-82.034809
Christian Heritage Church,Tallahassee, FL,3000,NONDENOM,30.438083,-84.280933
First Baptist Church,Daytona Beach, FL,1900,SBC,29.210815,-81.022833
Faith Christian Center,Jacksonville, FL,2200,UNK,30.332184,-81.655651
Grace Church,Cape Coral, FL,2750,UMC,26.605943,-81.980677
Miami Vineyard Community Church,Miami, FL,2000,VINE,25.764993375,-80.1852740625
South Florida Church of Christ,Davie, FL,2000,COC,26.062867,-80.233104
Spanish River Church,Boca Raton, FL,2000,NONDENOM,26.358689,-80.083098
New Destiny Christian Center,Apopka, FL,2000,UNK,28.677968,-81.511521
Trinity Church,Miami, FL,3500,AG,25.764993375,-80.1852740625
Saint Lukes United Methodist Church,Orlando, FL,1967,UMC,28.542111,-81.37903
Abundant Living Ministries of Pembroke Pines,Pembroke Pines, FL,2000,IPHC,26.003147,-80.223937
Community Christian Church,Tamarac, FL,1971,CHRISTIAN,26.212861,-80.249771
Victory Church,Lakeland, FL,3001,AG,28.039465,-81.949804
Calvary Christian Center,Ormond Beach, FL,7120,NONDENOM,29.285413,-81.055792
Alpha and Omega Church,Miami, FL,2100,NONDENOM,25.764993375,-80.1852740625
Trinity Baptist Church,Jacksonville, FL,1800,BAPT,30.332184,-81.655651
Summit Church,Estero, FL,1800,UNK,26.438147,-81.806754
Oasis Church,Pembroke Pines, FL,2200,SBC,26.003147,-80.223937
Shiloh Metropolitan Baptist Church,Jacksonville, FL,6000,BAPT,30.332184,-81.655651
The Pentecostals of Cooper City,Cooper City, FL,2000,NONDENOM,26.057783,-80.269511
LifePoint Community Church,Tampa, FL,2200,SBC,27.94776,-82.458444
First United Methodist Church,Niceville, FL,2030,UMC,30.516864,-86.482172
Church of All Nations,Boca Raton, FL,2640,AG,26.358689,-80.083098
The Church Group Worldwide,Jacksonville, FL,3400,NONDENOM,30.332184,-81.655651
La Catedral del Pueblo,Miami, FL,2000,NONDENOM,25.764993375,-80.1852740625
Christ the Rock Community Church,Copper City, FL,2000,NONDENOM,26.057783,-80.269511
Christ Episcopal Church,Ponte Vedra Beach, FL,2000,EPIS,30.227465,-81.380082
The Crossing Church,Tampa, FL,5000,UNK,27.94776,-82.458444
First Baptist Church of Central Florida,Orlando, FL,4000,SBC,28.542111,-81.37903
Faithworld,Orlando, FL,5000,NONDENOM,28.542111,-81.37903
Saint Marks Episcopal Church,Jacksonville, FL,2500,EPIS,30.332184,-81.655651
Van Dyke United Methodist Church,Lutz, FL,2143,UMC,28.151124,-82.461483
Church by the Glades,Coral Springs, FL,6457,SBC,26.271192,-80.270604
First Baptist Church,Brandon, FL,2750,SBC,27.937801,-82.285925
Bay Life Church,Brandon, FL,2500,SBC,27.937801,-82.285925
Bell Shoals Baptist Church,Brandon, FL,2985,SBC,27.937801,-82.285925
First Baptist Church of Orlando,Orlando, FL,5587,SBC,28.542111,-81.37903
Celebration Church,Jacksonville, FL,11096,UNK,30.332184,-81.655651
Bethel Baptist Institutional Church,Jacksonville, FL,12000,BAPT,30.332184,-81.655651
Bayside Community Church,Bradenton, FL,2000,UNK,27.498928,-82.574819
Northland A Church Distributed,Longwood, FL,12000,NONDENOM,28.70085,-81.346558
Idlewild Baptist Church,Lutz, FL,7000,SBC,28.151124,-82.461483
Christ Journey Church,Coral Gables, FL,2100,BGC,25.72149,-80.268384
First Baptist Church of Mandarin,Jacksonville, FL,2000,SBC,30.332184,-81.655651
Westside Baptist Church,Gainesville, FL,1800,SBC,29.651968,-82.324985
Antioch Missionary Baptist Church,Miami Gardens, FL,7000,MISSBAPT,25.946705,-80.149024
New Birth Baptist Church,Miami, FL,9000,BAPT,25.764993375,-80.1852740625
Victorious Life Church,Wesley Chapel, FL,3000,AG,28.23973,-82.327866
First Presbyterian Church of Orlando,Orlando, FL,2400,PCUSA,28.542111,-81.37903
Gulf Breeze United Methodist Church,Gulf Breeze, FL,2324,UMC,30.381469,-87.100502
Christ Fellowship,Palmetto Bay, FL,8098,SBC,25.621772,-80.324775
King Jesus International Ministry,Miami, FL,12540,NONDENOM,25.764993375,-80.1852740625
First Baptist Church of Melbourne,Melbourne, FL,2500,SBC,28.106471,-80.637151
Tomoka Christian Church,Ormond Beach, FL,2296,CHRISTIAN,29.285413,-81.055792
East Brent Baptist Church,Pensacola, FL,2500,SBC,30.421309,-87.216915
Revealing Truth Ministries,Tampa, FL,2500,NONDENOM,27.94776,-82.458444
Cristo Mi Redentor,West Palm Beach, FL,3000,PENT,26.715364,-80.053294
Coral Ridge Presbyterian Church,Fort Lauderdale, FL,1900,PCA,26.122308,-80.143379
Community Christian Church,Ft. Lauderdale, FL,1971,CHRISTIAN,26.122308,-80.143379
Life Center Church,Eatonville, FL,2500,UNK,28.618673,-81.386095
First Baptist Church at the Mall,Lakeland, FL,3200,SBC,28.039465,-81.949804
Meadowbrook Church,Ocala, FL,3001,NONDENOM,29.187199,-82.140092
Real Life Christian Church,Clermont, FL,3245,CHRISTIAN,28.549445,-81.772854
First Baptist Church,Naples, FL,3523,SBC,26.142198,-81.794294
Church at the Springs,Ocala, FL,3000,SBC,29.187199,-82.140092
Calvary Chapel Kendall,Miami, FL,2200,CAL,25.764993375,-80.1852740625
First Assembly of God,Fort Myers, FL,7426,AG,26.640628,-81.872308
First Baptist Church,Fort Lauderdale, FL,2200,SBC,26.122308,-80.143379
Discovery Church,Orlando, FL,4500,NONDENOM,28.542111,-81.37903
Iglesia El Calvario Assembly of God,Orlando, FL,5250,AG,28.542111,-81.37903
Trinity Church International,Lake Worth, FL,4012,AG,26.596347,-80.181643
Potter's House Christian Fellowship,Jacksonville, FL,3000,UNK,30.332184,-81.655651
New Dimensions Christian Center,Pensacola, FL,3300,NONDENOM,30.421309,-87.216915
Beach United Methodist Church,Jacksonville Beach, FL,2069,UMC,30.294686,-81.39314
First Baptist Church of Oviedo,Oviedo, FL,2461,SBC,28.670253,-81.208494
Iglesia Cristiana Segadores De Vida,Hollywood, FL,7000,NONDENOM,26.011201,-80.14949
South Biscayne Baptist Church,North Port, FL,2000,SBC,27.044224,-82.235925
Calvary Baptist Church,Clearwater, FL,2419,SBC,27.965853,-82.800103
Peachtree Presbyterian Church,Atlanta, GA,3171,PCUSA,33.748992,-84.390264
Salem Bible Church,Atlanta, GA,2000,UNK,33.748992,-84.390264
Perimeter Church,Duluth, GA,3900,PCA,34.002857,-84.144105
Crossroads Baptist Church,Newnan, GA,2607,SBC,33.380672,-84.799657
