name,city,state,attend,denom,lat,lon
Church Without Walls,Houston, TX,6411,SBC,29.758938,-95.367697
St Lukes United Methodist Church,Houston, TX,1931,UMC,29.758938,-95.367697
The Heights Baptist Church,Richardson, TX,2623,SBC,32.948179,-96.729721
Tallowood Baptist Church,Houston, TX,2000,BAPT,29.758938,-95.367697
New Song Church,Carrollton, TX,2000,SBC,32.953735,-96.890282
Milestone Church,Keller, TX,2000,UNK,32.929966,-97.227125
Baptist Temple Church,McAllen, TX,2000,SBC,26.204369,-98.230082
March of Faith Ministries,Houston, TX,1800,BAPT,29.758938,-95.367697
Prestoncrest Church of Christ,Dallas, TX,2500,COC,32.776272,-96.796856
Saint John Baptist Church,Grand Prairie, TX,8800,NONDENOM,32.745965,-96.997785
PromiseLand Church,Austin, TX,2400,NONDENOM,30.271129,-97.7437
Second Baptist Church,Houston, TX,20656,SBC,29.758938,-95.367697
Windsor Village United Methodist Church,Houston, TX,5859,UMC,29.758938,-95.367697
The Met (Metropolitan Baptist Church),Houston, TX,3600,BAPT,29.758938,-95.367697
Temple Bible Church,Temple, TX,2800,NONDENOM,31.098207,-97.342785
Park Cities Presbyterian Church,Dallas, TX,5500,PCA,32.776272,-96.796856
Compass Christian Church,Colleyville, TX,3012,CHRISTIAN,32.88096,-97.155012
Oak Cliff Bible Fellowship Church,Dallas, TX,7000,NONDENOM,32.776272,-96.796856
Globe Harvest Church,Dallas, TX,2260,SBC,32.776272,-96.796856
The Woodlands United Methodist Church,The Woodlands, TX,4267,UMC,30.173419,-95.504686
Friendship West Baptist Church,Dallas, TX,9000,ABC,32.776272,-96.796856
Abundant Life Cathedral Church,Houston, TX,5000,NONDENOM,29.758938,-95.367697
Iglesia Rios de Agua Via,Odgen, UT,2000,UNK,41.223005,-111.973843
South Mountain Community Church,Draper, UT,1800,NONDENOM,40.524671,-111.863823
Washington Heights Baptist Church,Ogden, UT,2200,CBA,41.223005,-111.973843
Blue Ridge Community Church,Forest, VA,2000,NONDENOM,37.363753,-79.289749
Faith Landmarks Ministries,Richmond, VA,5000,UNK,37.538509,-77.43428
Korean Central Presbyterian Church,Centreville, VA,4500,PCA,38.840391,-77.428877
Immanuel Bible Church,Springfield, VA,4000,NONDENOM,38.789052,-77.187037
West End Assembly of God,Richmond, VA,2100,AG,37.538509,-77.43428
Grove Church,Portsmouth, VA,2363,BAPT,36.84442,-76.3533
First Baptist Norfolk,Norfolk, VA,2462,SBC,36.896805,-76.260234
Tree of Life Ministries,Lynchburg, VA,2400,PENT,37.413754,-79.142246
Cornerstone Chapel,Leesburg, VA,3250,UNK,39.11545,-77.564545
Reston Bible Church,Dulles, VA,1800,NONDENOM,38.953576,-77.446574
Richmond Outreach Center,Richmond, VA,5500,NONDENOM,37.538509,-77.43428
Atlantic Shores Baptist Church,Virginia Beach, VA,2000,SBC,36.852984,-75.977418
Waters Edge Church,Yorktown, VA,3594,SBC,37.237888,-76.508063
Saint Paul's Baptist Church,Richmond, VA,6257,SBC,37.538509,-77.43428
Christian Fellowship Church,Ashburn, VA,2000,NONDENOM,39.043719,-77.48749
Reston Bible Church,Reston, VA,1800,NONDENOM,38.958374,-77.357981
New Life Providence Church,Virginia Beach, VA,2500,NONDENOM,36.852984,-75.977418
Lifepoint Church,Fredericksburg, VA,1800,UNK,38.303184,-77.46054
Alfred Street Baptist Church,Alexandria, VA,2800,BAPT,38.80511,-77.047023
Antioch Baptist Church,Fairfax Station, VA,1800,SBC,38.800859,-77.32568
Wave Church,Virginia Beach, VA,4000,NONDENOM,36.852984,-75.977418
McLean Bible Church,McLean, VA,16500,NONDENOM,38.934289,-77.177633
Colonial Heights Baptist Church,Colonial Heights, VA,2125,SBC,37.255572,-77.411202
Open Door Presbyterian Church,Herndon, VA,2500,PRES,38.969532,-77.385948
Fairfax Community Church,Fairfax, VA,2500,UNK,38.846224,-77.306373
The Rock Church International,Virginia Beach, VA,2225,NONDENOM,36.852984,-75.977418
Highlands Fellowship,Abingdon, VA,4000,SBC,36.709463,-81.983601
Harvest Life Changers World Ministries,Woodbridge, VA,2000,NONDENOM,38.658172,-77.249705
Spotswood Baptist Church,Fredericksburg, VA,2000,SBC,38.303184,-77.46054
Calvary Revival Church,Norfolk, VA,8000,NONDENOM,36.896805,-76.260234
Bethel Temple Assembly of God,Hampton, VA,2613,AG,37.030097,-76.345206
First Mount Zion Baptist Church,Dumfries, VA,3400,BAPT,38.56762,-77.328038
Liberty Baptist Church,Hampton, VA,3023,SBC,37.030097,-76.345206
